diet_pattern,food_group,outcome,impact_median_year,my_sum,my_prop
US,veg_sta,GHG (kgCO2eq),13.195881781874387,100.71361402695786,13.10238135069035
US,added_sugar,WATER (litereq),-13719.100482838552,249363.5608916803,-5.501646043945418
US,dairy_cow,WATER (litereq),56505.369798548716,249363.5608916803,22.65983433846366
US,dairy_soy,WATER (litereq),-14.424953995553636,249363.5608916803,-0.005784708055969578
US,dairy_tot,WATER (litereq),0,249363.5608916803,0
US,fruit_exc_juice,WATER (litereq),164575.13154578826,249363.5608916803,65.99806762355193
US,fruit_juice,WATER (litereq),67437.79567518839,249363.5608916803,27.04396561953265
US,gr_refined,WATER (litereq),-34567.882122503725,249363.5608916803,-13.862443253094018
US,gr_whole,WATER (litereq),45701.64040735616,249363.5608916803,18.327313038013703
US,leg_tot,WATER (litereq),5324.1947539944695,249363.5608916803,2.1351133802212656
