subgroup_id,type,CancerSites,year,Sex,age_gp,race_gp,count,population,crude_rate,crude_SE
10,Incidence,Gallbladder,2013,Male,Age_4554,Non-hispanic White,53,14500000,0.365,0.07
11,Incidence,Gallbladder,2013,Female,Age_4554,Non-hispanic Black,55,2885488,1.906,0.363
12,Incidence,Gallbladder,2013,Male,Age_4554,Non-hispanic Black,0,0,0,0
13,Incidence,Gallbladder,2013,Female,Age_4554,Hispanic,31,1478597,2.097,0.408
14,Incidence,Gallbladder,2013,Male,Age_4554,Hispanic,20,1513427,1.322,0.324
15,Incidence,Gallbladder,2013,Female,Age_4554,Other,0,87248,0,0
16,Incidence,Gallbladder,2013,Male,Age_4554,Other,0,81804,0,0
17,Incidence,Gallbladder,2013,Female,Age_5564,Non-hispanic White,276,14700000,1.882,0.161
18,Incidence,Gallbladder,2013,Male,Age_5564,Non-hispanic White,148,14000000,1.058,0.124
19,Incidence,Gallbladder,2013,Female,Age_5564,Non-hispanic Black,117,2394848,4.885,0.638
20,Incidence,Gallbladder,2013,Male,Age_5564,Non-hispanic Black,20,867525,2.305,0.516
21,Incidence,Gallbladder,2013,Female,Age_5564,Hispanic,98,1879153,5.215,0.768
22,Incidence,Gallbladder,2013,Male,Age_5564,Hispanic,20,826633,2.419,0.588
23,Incidence,Gallbladder,2013,Female,Age_5564,Other,18,471508,3.818,0.9
24,Incidence,Gallbladder,2013,Male,Age_5564,Other,0,0,0,0
25,Incidence,Gallbladder,2013,Female,Age_over65,Non-hispanic White,1207,19500000,6.177,0.414
26,Incidence,Gallbladder,2013,Male,Age_over65,Non-hispanic White,607,15600000,3.9,0.378
27,Incidence,Gallbladder,2013,Female,Age_over65,Non-hispanic Black,229,2329909,9.829,1.516
28,Incidence,Gallbladder,2013,Male,Age_over65,Non-hispanic Black,102,1417145,7.198,1.554
29,Incidence,Gallbladder,2013,Female,Age_over65,Hispanic,231,1809776,12.764,1.968
30,Incidence,Gallbladder,2013,Male,Age_over65,Hispanic,65,1135714,5.723,1.32
31,Incidence,Gallbladder,2013,Female,Age_over65,Other,55,772945,7.116,1.696
32,Incidence,Gallbladder,2013,Male,Age_over65,Other,0,0,0,0
