subgroup,Foodgroup,N,Mean_Intake,SE_Intake,sigma_u_wgt,Food_label,Food_desc,pro_gro
34,dairy_tot,134,0.88,0.06,0.42,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.7781529440151379
35,dairy_tot,203,1.23,0.06,0.53,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.8145701335071458
36,dairy_tot,89,1.27,0.13,0.54,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.8541143759757527
37,dairy_tot,286,1.39,0.06,0.57,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.7840277084719851
38,dairy_tot,158,1,0.07,0.46,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.7111319004220754
39,dairy_tot,184,1.33,0.09,0.55,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.7942764818401017
40,dairy_tot,84,1.33,0.11,0.55,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.8099170372520409
41,dairy_tot,310,1.45,0.06,0.58,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.7973653507654198
42,dairy_tot,95,0.93,0.08,0.43,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.8566273733672398
43,dairy_tot,85,1.43,0.07,0.58,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.8349911511387558
44,dairy_tot,44,1.38,0.13,0.58,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.8476088163766075
45,dairy_tot,334,1.46,0.08,0.58,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.8104568297779432
46,dairy_tot,82,1.02,0.09,0.46,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.8783976390289298
47,dairy_tot,58,1.36,0.15,0.56,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.8248758860212133
48,dairy_tot,36,0.91,0.15,0.43,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.8010730202115025
1,fruit_exc_juice,381,0.71,0.05,0.56,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8597521873111552
2,fruit_exc_juice,282,0.59,0.06,0.49,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.87614768715427
3,fruit_exc_juice,337,0.7,0.05,0.56,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.7980890971877843
4,fruit_exc_juice,234,0.67,0.06,0.55,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.9150198005180236
