subgroup_id,type,CancerSite,year,Sex,age_gp,race_gp,count,population,crude_rate,crude_SE
21,Mortality,Esophagus,2015,Male,Age_5564,Non-hispanic White,2667,14415002,18.50155831,0.504507315
22,Mortality,Esophagus,2015,Male,Age_5564,Non-hispanic Black,291,2137700,13.61276138,1.141329029
23,Mortality,Esophagus,2015,Male,Age_5564,Hispanic,151,2058899,7.33401687,1.197157258
24,Mortality,Esophagus,2015,Male,Age_5564,Other,78,1066033,7.316846664,2.311261912
25,Mortality,Esophagus,2015,Female,Age_over65,Non-hispanic White,1842,20639658,8.924566483,0.499929848
26,Mortality,Esophagus,2015,Female,Age_over65,Non-hispanic Black,179,2552333,7.013191461,1.208663487
27,Mortality,Esophagus,2015,Female,Age_over65,Hispanic,88,2132451,4.12670678,1.860052909
28,Mortality,Esophagus,2015,Female,Age_over65,Other,50,1339138,3.733745141,2.199778152
29,Mortality,Esophagus,2015,Male,Age_over65,Non-hispanic White,6789,16705087,40.64031513,1.150740942
30,Mortality,Esophagus,2015,Male,Age_over65,Non-hispanic Black,447,1714280,26.07508692,2.790571827
31,Mortality,Esophagus,2015,Male,Age_over65,Hispanic,302,1619259,18.65050619,3.644672304
32,Mortality,Esophagus,2015,Male,Age_over65,Other,163,1032086,15.79325754,4.90551318
1,Mortality,Female Breast,2015,Female,Age_2044,Non-hispanic White,1201,30523184,3.934714019,0.24226805
2,Mortality,Female Breast,2015,Female,Age_2044,Non-hispanic Black,553,7676770,7.203550452,0.706850694
3,Mortality,Female Breast,2015,Female,Age_2044,Hispanic,337,10518884,3.20376192,0.568278205
4,Mortality,Female Breast,2015,Female,Age_2044,Other,132,4433343,2.977437117,0.909915186
5,Mortality,Female Breast,2015,Male,Age_2044,Non-hispanic White,0,31292111,0,0
6,Mortality,Female Breast,2015,Male,Age_2044,Non-hispanic Black,0,7275243,0,0
7,Mortality,Female Breast,2015,Male,Age_2044,Hispanic,0,11306346,0,0
8,Mortality,Female Breast,2015,Male,Age_2044,Other,0,4155228,0,0
9,Mortality,Female Breast,2015,Female,Age_4554,Non-hispanic White,3269,14238423,22.95900325,0.555855515
10,Mortality,Female Breast,2015,Female,Age_4554,Non-hispanic Black,1137,2860342,39.75049137,1.660502219
11,Mortality,Female Breast,2015,Female,Age_4554,Hispanic,507,3213000,15.77964519,1.364576228
12,Mortality,Female Breast,2015,Female,Age_4554,Other,250,1529112,16.34935832,2.091899282
13,Mortality,Female Breast,2015,Male,Age_4554,Non-hispanic White,0,14096551,0,0
14,Mortality,Female Breast,2015,Male,Age_4554,Non-hispanic Black,0,2528856,0,0
15,Mortality,Female Breast,2015,Male,Age_4554,Hispanic,0,3272152,0,0
16,Mortality,Female Breast,2015,Male,Age_4554,Other,0,1352454,0,0
17,Mortality,Female Breast,2015,Female,Age_5564,Non-hispanic White,6400,15111568,42.35166066,0.749571944
18,Mortality,Female Breast,2015,Female,Age_5564,Non-hispanic Black,1668,2546832,65.49313029,2.240707302
19,Mortality,Female Breast,2015,Female,Age_5564,Hispanic,683,2198328,31.06906704,2.405608636
20,Mortality,Female Breast,2015,Female,Age_5564,Other,382,1272047,30.03033693,3.096994422
21,Mortality,Female Breast,2015,Male,Age_5564,Non-hispanic White,0,14415002,0,0
22,Mortality,Female Breast,2015,Male,Age_5564,Non-hispanic Black,0,2137700,0,0
23,Mortality,Female Breast,2015,Male,Age_5564,Hispanic,0,2058899,0,0
24,Mortality,Female Breast,2015,Male,Age_5564,Other,0,1066033,0,0
