year,race_gp,age_gp,sex,subgroup_id,crude_rate
2024,NHB,age_5564,Male,22,42.44770869
2024,HIS,age_5564,Male,23,36.406014952
2024,Other,age_5564,Male,24,42.783970244
2024,NHW,age_65+,Female,25,26.845063346
2024,NHB,age_65+,Female,26,15.285098754
2024,HIS,age_65+,Female,27,17.071552913
2024,Other,age_65+,Female,28,19.317521179
2024,NHW,age_65+,Male,29,77.811127425
2024,NHB,age_65+,Male,30,45.726627946
2024,HIS,age_65+,Male,31,42.534517041
2024,Other,age_65+,Male,32,44.309868932
2025,NHW,age_2044,Female,1,4.7323423402
2025,NHB,age_2044,Female,2,3.1740339537
2025,HIS,age_2044,Female,3,2.2712444896
2025,Other,age_2044,Female,4,3.9881659482
2025,NHW,age_2044,Male,5,12.350704672
2025,NHB,age_2044,Male,6,5.6279231679
2025,HIS,age_2044,Male,7,3.6420971111
2025,Other,age_2044,Male,8,9.251311209
2025,NHW,age_4554,Female,9,17.66854812
2025,NHB,age_4554,Female,10,13.925194089
2025,HIS,age_4554,Female,11,8.3631518608
2025,Other,age_4554,Female,12,11.798681716
2025,NHW,age_4554,Male,13,66.943811845
2025,NHB,age_4554,Male,14,31.015824292
2025,HIS,age_4554,Male,15,21.977483781
2025,Other,age_4554,Male,16,36.108368836
2025,NHW,age_5564,Female,17,25.330469827
2025,NHB,age_5564,Female,18,15.298233118
2025,HIS,age_5564,Female,19,15.220846918
2025,Other,age_5564,Female,20,17.855294532
2025,NHW,age_5564,Male,21,78.023676343
2025,NHB,age_5564,Male,22,43.028584011
2025,HIS,age_5564,Male,23,38.196868989
2025,Other,age_5564,Male,24,43.704463713
2025,NHW,age_65+,Female,25,26.900711954
2025,NHB,age_65+,Female,26,15.187478984
2025,HIS,age_65+,Female,27,17.031914118
2025,Other,age_65+,Female,28,19.264132842
2025,NHW,age_65+,Male,29,78.827639334
2025,NHB,age_65+,Male,30,45.330596505
2025,HIS,age_65+,Male,31,42.338821707
2025,Other,age_65+,Male,32,44.628548984
2026,NHW,age_2044,Female,1,5.1291147229
2026,NHB,age_2044,Female,2,3.3349017001
2026,HIS,age_2044,Female,3,2.3979816022
2026,Other,age_2044,Female,4,4.2115187067
2026,NHW,age_2044,Male,5,13.634569187
2026,NHB,age_2044,Male,6,5.8576671605
2026,HIS,age_2044,Male,7,3.8473609148
2026,Other,age_2044,Male,8,9.8457325606
2026,NHW,age_4554,Female,9,18.779651128
2026,NHB,age_4554,Female,10,14.995754783
2026,HIS,age_4554,Female,11,8.9776907782
2026,Other,age_4554,Female,12,12.375588942
2026,NHW,age_4554,Male,13,72.687233131
2026,NHB,age_4554,Male,14,32.387890655
2026,HIS,age_4554,Male,15,23.643002742
2026,Other,age_4554,Male,16,38.963168734
2026,NHW,age_5564,Female,17,26.197108916
2026,NHB,age_5564,Female,18,15.179400435
2026,HIS,age_5564,Female,19,16.082126066
2026,Other,age_5564,Female,20,18.512194808
2026,NHW,age_5564,Male,21,79.523116217
2026,NHB,age_5564,Male,22,43.719001574
2026,HIS,age_5564,Male,23,40.00810972
2026,Other,age_5564,Male,24,44.525175768
2026,NHW,age_65+,Female,25,26.956475676
2026,NHB,age_65+,Female,26,15.090481696
2026,HIS,age_65+,Female,27,16.992368776
2026,Other,age_65+,Female,28,19.210894624
2026,NHW,age_65+,Male,29,79.857431698
2026,NHB,age_65+,Male,30,44.937996176
2026,HIS,age_65+,Male,31,42.144025571
2026,Other,age_65+,Male,32,44.949520893
2027,NHW,age_2044,Female,1,5.5413976192
2027,NHB,age_2044,Female,2,3.4930019648
2027,HIS,age_2044,Female,3,2.5273542239
2027,Other,age_2044,Female,4,4.4463747236
2027,NHW,age_2044,Male,5,14.959784695
2027,NHB,age_2044,Male,6,6.0656531853
2027,HIS,age_2044,Male,7,4.0467874409
2027,Other,age_2044,Male,8,10.477382678
2027,NHW,age_4554,Female,9,19.841866272
2027,NHB,age_4554,Female,10,16.093038198
2027,HIS,age_4554,Female,11,9.6116045159
2027,Other,age_4554,Female,12,12.970217851
2027,NHW,age_4554,Male,13,78.394553968
2027,NHB,age_4554,Male,14,33.657131715
2027,HIS,age_4554,Male,15,25.340199295
2027,Other,age_4554,Male,16,42.018514263
2027,NHW,age_5564,Female,17,27.012355217
2027,NHB,age_5564,Female,18,14.994103278
2027,HIS,age_5564,Female,19,16.952914976
2027,Other,age_5564,Female,20,19.157797617
2027,NHW,age_5564,Male,21,80.900676323
2027,NHB,age_5564,Male,22,44.548795279
2027,HIS,age_5564,Male,23,41.95012673
2027,Other,age_5564,Male,24,45.272801131
2027,NHW,age_65+,Female,25,27.012355266
2027,NHB,age_65+,Female,26,14.994101044
2027,HIS,age_65+,Female,27,16.952913797
2027,Other,age_65+,Female,28,19.157797702
2027,NHW,age_65+,Male,29,80.900676441
2027,NHB,age_65+,Male,30,44.548794593
2027,HIS,age_65+,Male,31,41.950124882
2027,Other,age_65+,Male,32,45.272802112
2028,NHW,age_2044,Female,1,6.3038634116
2028,NHB,age_2044,Female,2,3.969112188
2028,HIS,age_2044,Female,3,2.8263630686
2028,Other,age_2044,Female,4,4.8535568195
2028,NHW,age_2044,Male,5,17.962161943
2028,NHB,age_2044,Male,6,6.8717660458
2028,HIS,age_2044,Male,7,4.7488552288
2028,Other,age_2044,Male,8,11.839241606
2028,NHW,age_4554,Female,9,20.863636346
2028,NHB,age_4554,Female,10,16.160330467
2028,HIS,age_4554,Female,11,10.325272602
2028,Other,age_4554,Female,12,13.606983489
2028,NHW,age_4554,Male,13,80.319558802
2028,NHB,age_4554,Male,14,33.939000098
2028,HIS,age_4554,Male,15,26.553082463
2028,Other,age_4554,Male,16,43.054280351
2028,NHW,age_5564,Female,17,27.06835051
2028,NHB,age_5564,Female,18,14.898340217
2028,HIS,age_5564,Female,19,16.913550792
2028,Other,age_5564,Female,20,19.104848614
2028,NHW,age_5564,Male,21,81.957550224
2028,NHB,age_5564,Male,22,44.16296575
2028,HIS,age_5564,Male,23,41.757119802
2028,Other,age_5564,Male,24,45.598405343
2028,NHW,age_65+,Female,25,27.06835043
2028,NHB,age_65+,Female,26,14.898340171
2028,HIS,age_65+,Female,27,16.913551526
2028,Other,age_65+,Female,28,19.104850603
2028,NHW,age_65+,Male,29,81.95755006
2028,NHB,age_65+,Male,30,44.162966748
2028,HIS,age_65+,Male,31,41.75712197
2028,Other,age_65+,Male,32,45.598408313
2029,NHW,age_2044,Female,1,7.0716488022
2029,NHB,age_2044,Female,2,4.4473915691
2029,HIS,age_2044,Female,3,3.1301096379
2029,Other,age_2044,Female,4,5.2652672235
2029,NHW,age_2044,Male,5,21.041607209
2029,NHB,age_2044,Male,6,7.6115637814
2029,HIS,age_2044,Male,7,5.4441436544
2029,Other,age_2044,Male,8,13.260003197
2029,NHW,age_4554,Female,9,21.834561532
2029,NHB,age_4554,Female,10,16.167413701
2029,HIS,age_4554,Female,11,11.043097409
2029,Other,age_4554,Female,12,14.225395186
2029,NHW,age_4554,Male,13,82.133117239
2029,NHB,age_4554,Male,14,34.341424499
2029,HIS,age_4554,Male,15,27.838397076
2029,Other,age_4554,Male,16,44.018287619
2029,NHW,age_5564,Female,17,27.124461786
2029,NHB,age_5564,Female,18,14.803189975
2029,HIS,age_5564,Female,19,16.874279376
2029,Other,age_5564,Female,20,19.052048463
2029,NHW,age_5564,Male,21,83.028230719
2029,NHB,age_5564,Male,22,43.780477476
2029,HIS,age_5564,Male,23,41.565000021
2029,Other,age_5564,Male,24,45.926352696
2029,NHW,age_65+,Female,25,27.124461747
2029,NHB,age_65+,Female,26,14.803189752
2029,HIS,age_65+,Female,27,16.874279491
2029,Other,age_65+,Female,28,19.052047748
2029,NHW,age_65+,Male,29,83.028230898
2029,NHB,age_65+,Male,30,43.780476253
2029,HIS,age_65+,Male,31,41.565000093
2029,Other,age_65+,Male,32,45.926356735
2030,NHW,age_2044,Female,1,7.8801024455
2030,NHB,age_2044,Female,2,4.9582322165
2030,HIS,age_2044,Female,3,3.448068817
2030,Other,age_2044,Female,4,5.6908822303
2030,NHW,age_2044,Male,5,24.352749758
2030,NHB,age_2044,Male,6,8.3514120937
2030,HIS,age_2044,Male,7,6.1629840222
2030,Other,age_2044,Male,8,14.767468045
2030,NHW,age_4554,Female,9,22.737424505
2030,NHB,age_4554,Female,10,16.113737167
2030,HIS,age_4554,Female,11,11.758974197
2030,Other,age_4554,Female,12,14.814537039
2030,NHW,age_4554,Male,13,83.828525867
2030,NHB,age_4554,Male,14,34.860928802
2030,HIS,age_4554,Male,15,29.200956092
2030,Other,age_4554,Male,16,44.908106716
2030,NHW,age_5564,Female,17,27.18068947
2030,NHB,age_5564,Female,18,14.708646006
2030,HIS,age_5564,Female,19,16.835099706
2030,Other,age_5564,Female,20,18.999392068
2030,NHW,age_5564,Male,21,84.112898439
2030,NHB,age_5564,Male,22,43.401301985
2030,HIS,age_5564,Male,23,41.373765242
2030,Other,age_5564,Male,24,46.256658654
2030,NHW,age_65+,Female,25,27.180689518
2030,NHB,age_65+,Female,26,14.708646994
2030,HIS,age_65+,Female,27,16.835099306
2030,Other,age_65+,Female,28,18.999393636
2030,NHW,age_65+,Male,29,84.112898329
2030,NHB,age_65+,Male,30,43.401301362
2030,HIS,age_65+,Male,31,41.373767633
2030,Other,age_65+,Male,32,46.256658121
2031,NHW,age_2044,Female,1,8.6931741091
2031,NHB,age_2044,Female,2,5.4756456896
2031,HIS,age_2044,Female,3,3.7707538511
2031,Other,age_2044,Female,4,6.1189957214
2031,NHW,age_2044,Male,5,27.725030426
2031,NHB,age_2044,Male,6,9.0345144359
2031,HIS,age_2044,Male,7,6.8651390988
2031,Other,age_2044,Male,8,16.317319662
2031,NHW,age_4554,Female,9,23.551829348
2031,NHB,age_4554,Female,10,16.009370329
2031,HIS,age_4554,Female,11,12.449029659
2031,Other,age_4554,Female,12,15.372315177
2031,NHW,age_4554,Male,13,85.406744804
2031,NHB,age_4554,Male,14,35.419968187
2031,HIS,age_4554,Male,15,30.560749724
2031,Other,age_4554,Male,16,45.71749341
2031,NHW,age_5564,Female,17,27.237033599
2031,NHB,age_5564,Female,18,14.614707484
2031,HIS,age_5564,Female,19,16.796009995
2031,Other,age_5564,Female,20,18.946881777
2031,NHW,age_5564,Male,21,85.211735859
2031,NHB,age_5564,Male,22,43.025411026
2031,HIS,age_5564,Male,23,41.183409598
2031,Other,age_5564,Male,24,46.589341737
2031,NHW,age_65+,Female,25,27.23703356
2031,NHB,age_65+,Female,26,14.614707782
2031,HIS,age_65+,Female,27,16.796010078
2031,Other,age_65+,Female,28,18.946883581
2031,NHW,age_65+,Male,29,85.211735858
2031,NHB,age_65+,Male,30,43.025411946
2031,HIS,age_65+,Male,31,41.183407716
2031,Other,age_65+,Male,32,46.589338598
2032,NHW,age_2044,Female,1,9.5365096235
2032,NHB,age_2044,Female,2,6.026548981
2032,HIS,age_2044,Female,3,4.1028994292
2032,Other,age_2044,Female,4,6.5587401088
2032,NHW,age_2044,Male,5,31.298563722
2032,NHB,age_2044,Male,6,9.7081951077
2032,HIS,age_2044,Male,7,7.5671818678
2032,Other,age_2044,Male,8,17.934729669
2032,NHW,age_4554,Female,9,24.316184297
2032,NHB,age_4554,Female,10,15.853711449
2032,HIS,age_4554,Female,11,13.128449995
2032,Other,age_4554,Female,12,15.907047874
2032,NHW,age_4554,Male,13,86.87026916
2032,NHB,age_4554,Male,14,36.029982225
2032,HIS,age_4554,Male,15,31.942336147
2032,Other,age_4554,Male,16,46.446702298
2032,NHW,age_5564,Female,17,27.29349466
2032,NHB,age_5564,Female,18,14.521367393
2032,HIS,age_5564,Female,19,16.757010918
2032,Other,age_5564,Female,20,18.894516694
2032,NHW,age_5564,Male,21,86.324928713
2032,NHB,age_5564,Male,22,42.652775359
2032,HIS,age_5564,Male,23,40.993931623
2032,Other,age_5564,Male,24,46.924414331
2032,NHW,age_65+,Female,25,27.293494775
2032,NHB,age_65+,Female,26,14.521366343
2032,HIS,age_65+,Female,27,16.757010254
2032,Other,age_65+,Female,28,18.894519972
2032,NHW,age_65+,Male,29,86.32492848
2032,NHB,age_65+,Male,30,42.652776539
2032,HIS,age_65+,Male,31,40.993933381
2032,Other,age_65+,Male,32,46.924415268
2033,NHW,age_2044,Female,1,10.273921851
2033,NHB,age_2044,Female,2,6.6001737051
2033,HIS,age_2044,Female,3,4.4194995663
2033,Other,age_2044,Female,4,6.9860838403
2033,NHW,age_2044,Male,5,34.489809844
2033,NHB,age_2044,Male,6,10.670727533
2033,HIS,age_2044,Male,7,8.3779064851
2033,Other,age_2044,Male,8,19.422536525
2033,NHW,age_4554,Female,9,24.890805752
2033,NHB,age_4554,Female,10,15.602620568
2033,HIS,age_4554,Female,11,13.796126629
2033,Other,age_4554,Female,12,16.451637288
2033,NHW,age_4554,Male,13,86.766451824
2033,NHB,age_4554,Male,14,37.260121393
2033,HIS,age_4554,Male,15,33.59124375
2033,Other,age_4554,Male,16,46.533009582
2033,NHW,age_5564,Female,17,27.293494628
2033,NHB,age_5564,Female,18,14.521366982
2033,HIS,age_5564,Female,19,16.757011602
2033,Other,age_5564,Female,20,18.89451489
2033,NHW,age_5564,Male,21,86.324928922
2033,NHB,age_5564,Male,22,42.652774816
2033,HIS,age_5564,Male,23,40.993930562
2033,Other,age_5564,Male,24,46.924413672
2033,NHW,age_65+,Female,25,27.29349493
2033,NHB,age_65+,Female,26,14.521364641
2033,HIS,age_65+,Female,27,16.757012073
2033,Other,age_65+,Female,28,18.894516378
2033,NHW,age_65+,Male,29,86.324928618
