subgroup,agecat,female,race,racecat,Age,Age_label,Sex,Sex_label,Race,Race_label,AAmn,AFFmn,APCAmn,BCmn,CCmn,CMmn,DIABmn,ECAmn,ENDOmn,GCmn,HHDmn,HSTKmn,IHDmn,ISTKmn,KCmn,LCmn,LVCmn,MLPCmn,MMCmn,OCmn,OSTKmn,OTHmn,PCmn,PVDmn,RHDmn,SCCmn,SCNCmn,TCmn,UCmn,AA_medBMImn,AFF_medBMImn,APCA_medBMImn,BC_medBMImn,CC_medBMImn,CM_medBMImn,DIAB_medBMImn,ECA_medBMImn,ENDO_medBMImn,GC_medBMImn,HHD_medBMImn,HSTK_medBMImn,IHD_medBMImn,ISTK_medBMImn,KC_medBMImn,LC_medBMImn,LVC_medBMImn,MLPC_medBMImn,MMC_medBMImn,OC_medBMImn,OSTK_medBMImn,OTH_medBMImn,PC_medBMImn,PVD_medBMImn,RHD_medBMImn,SCC_medBMImn,SCNC_medBMImn,TC_medBMImn,UC_medBMImn,AA_medSBPmn,AFF_medSBPmn,APCA_medSBPmn,BC_medSBPmn,CC_medSBPmn,CM_medSBPmn,DIAB_medSBPmn,ECA_medSBPmn,ENDO_medSBPmn,GC_medSBPmn,HHD_medSBPmn,HSTK_medSBPmn,IHD_medSBPmn,ISTK_medSBPmn,KC_medSBPmn,LC_medSBPmn,LVC_medSBPmn,MLPC_medSBPmn,MMC_medSBPmn,OC_medSBPmn,OSTK_medSBPmn,OTH_medSBPmn,PC_medSBPmn,PVD_medSBPmn,RHD_medSBPmn,SCC_medSBPmn,SCNC_medSBPmn,TC_medSBPmn,UC_medSBPmn,AAse,AFFse,APCAse,BCse,CCse,CMse,DIABse,ECAse,ENDOse,GCse,HHDse,HSTKse,IHDse,ISTKse,KCse,LCse,LVCse,MLPCse,MMCse,OCse,OSTKse,OTHse,PCse,PVDse,RHDse,SCCse,SCNCse,TCse,UCse,AA_medBMIse,AFF_medBMIse,APCA_medBMIse,BC_medBMIse,CC_medBMIse,CM_medBMIse,DIAB_medBMIse,ECA_medBMIse,ENDO_medBMIse,GC_medBMIse,HHD_medBMIse,HSTK_medBMIse,IHD_medBMIse,ISTK_medBMIse,KC_medBMIse,LC_medBMIse,LVC_medBMIse,MLPC_medBMIse,MMC_medBMIse,OC_medBMIse,OSTK_medBMIse,OTH_medBMIse,PC_medBMIse,PVD_medBMIse,RHD_medBMIse,SCC_medBMIse,SCNC_medBMIse,TC_medBMIse,UC_medBMIse,AA_medSBPse,AFF_medSBPse,APCA_medSBPse,BC_medSBPse,CC_medSBPse,CM_medSBPse,DIAB_medSBPse,ECA_medSBPse,ENDO_medSBPse,GC_medSBPse,HHD_medSBPse,HSTK_medSBPse,IHD_medSBPse,ISTK_medSBPse,KC_medSBPse,LC_medSBPse,LVC_medSBPse,MLPC_medSBPse,MMC_medSBPse,OC_medSBPse,OSTK_medSBPse,OTH_medSBPse,PC_medSBPse,PVD_medSBPse,RHD_medSBPse,SCC_medSBPse,SCNC_medSBPse,TC_medSBPse,UC_medSBPse
29,4,0,1,1,4,55-64,2,Male,1,NHW,774,518,10969,0,13970,1465,5368,2319,137,115,3463,1550,26532,1028,8936,18889,5749,12018,2114,0,1794,1496,5229,312,116,1379,616,2753,0,774,518,10969,0,13970,1465,5368,2319,137,115,3463,1550,26532,1028,8936,18889,5749,12018,2114,0,1794,1496,5229,312,116,1379,616,2753,0,774,518,10969,0,13970,1465,5368,2319,137,115,3463,1550,26532,1028,8936,18889,5749,12018,2114,0,1794,1496,5229,312,116,1379,616,2753,0,28,24,229,0,259,38,73,106,12,24,59,40,164,33,208,301,165,240,102,0,43,40,158,18,11,81,55,116,0,28,24,229,0,259,38,73,106,12,24,59,40,164,33,208,301,165,240,102,0,43,40,158,18,11,81,55,116,0,28,24,229,0,259,38,73,106,12,24,59,40,164,33,208,301,165,240,102,0,43,40,158,18,11,81,55,116,0
30,4,0,2,2,4,55-64,2,Male,2,NHB,172,100,2543,0,2309,594,1726,77,26,46,1520,585,5668,416,1319,3147,1208,1262,662,0,812,366,845,107,28,81,291,222,0,172,100,2543,0,2309,594,1726,77,26,46,1520,585,5668,416,1319,3147,1208,1262,662,0,812,366,845,107,28,81,291,222,0,172,100,2543,0,2309,594,1726,77,26,46,1520,585,5668,416,1319,3147,1208,1262,662,0,812,366,845,107,28,81,291,222,0,14,11,99,0,94,25,42,18,6,14,39,25,76,21,71,110,68,70,51,0,29,20,57,11,6,18,34,30,0,14,11,99,0,94,25,42,18,6,14,39,25,76,21,71,110,68,70,51,0,29,20,57,11,6,18,34,30,0,14,11,99,0,94,25,42,18,6,14,39,25,76,21,71,110,68,70,51,0,29,20,57,11,6,18,34,30,0
31,4,0,3,3,4,55-64,2,Male,3,HIS,83,41,1484,0,2384,173,923,158,19,42,396,367,2853,177,1561,1207,1570,911,422,0,240,168,776,38,13,100,367,329,0,83,41,1484,0,2384,173,923,158,19,42,396,367,2853,177,1561,1207,1570,911,422,0,240,168,776,38,13,100,367,329,0,83,41,1484,0,2384,173,923,158,19,42,396,367,2853,177,1561,1207,1570,911,422,0,240,168,776,38,13,100,367,329,0,10,7,70,0,88,14,31,23,5,12,20,20,54,14,71,63,72,55,37,0,16,13,50,7,4,18,35,33,0,10,7,70,0,88,14,31,23,5,12,20,20,54,14,71,63,72,55,37,0,16,13,50,7,4,18,35,33,0,10,7,70,0,88,14,31,23,5,12,20,20,54,14,71,63,72,55,37,0,16,13,50,7,4,18,35,33,0
32,4,0,4,4,4,55-64,2,Male,4,OTH,40,19,921,0,2184,91,362,67,9,32,166,175,1280,63,940,1759,1162,1003,203,0,114,51,535,11,11,71,293,340,0,40,19,921,0,2184,91,362,67,9,32,166,175,1280,63,940,1759,1162,1003,203,0,114,51,535,11,11,71,293,340,0,40,19,921,0,2184,91,362,67,9,32,166,175,1280,63,940,1759,1162,1003,203,0,114,51,535,11,11,71,293,340,0,7,5,60,0,93,10,20,17,1,11,13,14,36,8,61,83,68,63,29,0,11,8,46,4,4,17,34,37,0,7,5,60,0,93,10,20,17,1,11,13,14,36,8,61,83,68,63,29,0,11,8,46,4,4,17,34,37,0,7,5,60,0,93,10,20,17,1,11,13,14,36,8,61,83,68,63,29,0,11,8,46,4,4,17,34,37,0
33,5,1,1,1,5,65-74,1,Female,1,NHW,603,1043,0,54872,11891,982,4785,374,103,500,2097,2276,17419,1856,4849,27443,1977,3354,2155,3906,3277,2153,5635,427,252,374,791,3719,12994,603,1043,0,54872,11891,982,4785,374,103,500,2097,2276,17419,1856,4849,27443,1977,3354,2155,3906,3277,2153,5635,427,252,374,791,3719,12994,603,1043,0,54872,11891,982,4785,374,103,500,2097,2276,17419,1856,4849,27443,1977,3354,2155,3906,3277,2153,5635,427,252,374,791,3719,12994,25,33,0,489,227,32,70,41,10,47,47,48,133,44,146,346,93,121,97,131,57,47,157,21,16,41,59,127,238,25,33,0,489,227,32,70,41,10,47,47,48,133,44,146,346,93,121,97,131,57,47,157,21,16,41,59,127,238,25,33,0,489,227,32,70,41,10,47,47,48,133,44,146,346,93,121,97,131,57,47,157,21,16,41,59,127,238
34,5,1,2,2,5,65-74,1,Female,2,NHB,108,130,0,6141,1864,316,1617,18,17,93,808,507,3879,494,743,3010,379,343,743,382,999,538,907,109,50,40,215,415,1821,108,130,0,6141,1864,316,1617,18,17,93,808,507,3879,494,743,3010,379,343,743,382,999,538,907,109,50,40,215,415,1821,108,130,0,6141,1864,316,1617,18,17,93,808,507,3879,494,743,3010,379,343,743,382,999,538,907,109,50,40,215,415,1821,11,12,0,149,82,18,41,8,5,19,29,23,63,23,52,104,37,36,52,37,32,24,57,11,8,12,28,39,81,11,12,0,149,82,18,41,8,5,19,29,23,63,23,52,104,37,36,52,37,32,24,57,11,8,12,28,39,81,11,12,0,149,82,18,41,8,5,19,29,23,63,23,52,104,37,36,52,37,32,24,57,11,8,12,28,39,81
35,5,1,3,3,5,65-74,1,Female,3,HIS,32,60,0,5750,1490,78,796,35,16,172,211,278,1702,220,713,1606,684,288,332,516,315,212,769,32,36,32,294,588,1568,32,60,0,5750,1490,78,796,35,16,172,211,278,1702,220,713,1606,684,288,332,516,315,212,769,32,36,32,294,588,1568,32,60,0,5750,1490,78,796,35,16,172,211,278,1702,220,713,1606,684,288,332,516,315,212,769,32,36,32,294,588,1568,6,8,0,135,69,9,29,11,4,24,15,17,42,15,48,71,47,30,33,41,18,15,49,6,6,10,31,43,70,6,8,0,135,69,9,29,11,4,24,15,17,42,15,48,71,47,30,33,41,18,15,49,6,6,10,31,43,70,6,8,0,135,69,9,29,11,4,24,15,17,42,15,48,71,47,30,33,41,18,15,49,6,6,10,31,43,70
36,5,1,4,4,5,65-74,1,Female,4,OTH,28,55,0,4430,916,44,316,3,9,72,97,245,766,90,278,1387,333,177,154,278,196,74,414,11,21,35,202,411,831,28,55,0,4430,916,44,316,3,9,72,97,245,766,90,278,1387,333,177,154,278,196,74,414,11,21,35,202,411,831,28,55,0,4430,916,44,316,3,9,72,97,245,766,90,278,1387,333,177,154,278,196,74,414,11,21,35,202,411,831,6,8,0,101,46,7,18,3,1,13,10,16,28,10,26,57,28,21,19,26,14,9,31,4,5,9,22,31,44,6,8,0,101,46,7,18,3,1,13,10,16,28,10,26,57,28,21,19,26,14,9,31,4,5,9,22,31,44,6,8,0,101,46,7,18,3,1,13,10,16,28,10,26,57,28,21,19,26,14,9,31,4,5,9,22,31,44
37,5,0,1,1,5,65-74,2,Male,1,NHW,1143,1346,14135,0,14501,2002,7948,2921,145,233,3578,2533,38858,2170,9640,27902,5625,10447,3304,0,4046,2372,6940,643,201,1765,898,2148,0,1143,1346,14135,0,14501,2002,7948,2921,145,233,3578,2533,38858,2170,9640,27902,5625,10447,3304,0,4046,2372,6940,643,201,1765,898,2148,0,1143,1346,14135,0,14501,2002,7948,2921,145,233,3578,2533,38858,2170,9640,27902,5625,10447,3304,0,4046,2372,6940,643,201,1765,898,2148,0,35,37,248,0,251,45,89,112,13,33,61,51,198,47,204,347,157,213,119,0,64,49,173,26,15,87,63,97,0,35,37,248,0,251,45,89,112,13,33,61,51,198,47,204,347,157,213,119,0,64,49,173,26,15,87,63,97,0,35,37,248,0,251,45,89,112,13,33,61,51,198,47,204,347,157,213,119,0,64,49,173,26,15,87,63,97,0
38,5,0,2,2,5,65-74,2,Male,2,NHB,125,179,2005,0,2124,549,1915,60,30,71,1215,510,6250,567,1064,3766,1150,960,810,0,1244,364,922,147,26,127,284,146,0,125,179,2005,0,2124,549,1915,60,30,71,1215,510,6250,567,1064,3766,1150,960,810,0,1244,364,922,147,26,127,284,146,0,125,179,2005,0,2124,549,1915,60,30,71,1215,510,6250,567,1064,3766,1150,960,810,0,1244,364,922,147,26,127,284,146,0,12,14,87,0,90,24,44,15,6,17,35,23,79,24,63,119,66,60,55,0,36,20,59,13,6,22,33,24,0,12,14,87,0,90,24,44,15,6,17,35,23,79,24,63,119,66,60,55,0,36,20,59,13,6,22,33,24,0,12,14,87,0,90,24,44,15,6,17,35,23,79,24,63,119,66,60,55,0,36,20,59,13,6,22,33,24,0
39,5,0,3,3,5,65-74,2,Male,3,HIS,63,80,1294,0,1715,152,1023,158,17,64,328,266,3344,278,1057,1560,1188,677,344,0,444,161,607,62,15,96,296,155,0,63,80,1294,0,1715,152,1023,158,17,64,328,266,3344,278,1057,1560,1188,677,344,0,444,161,607,62,15,96,296,155,0,63,80,1294,0,1715,152,1023,158,17,64,328,266,3344,278,1057,1560,1188,677,344,0,444,161,607,62,15,96,296,155,0,8,9,59,0,68,13,32,21,5,14,19,17,58,17,54,65,57,43,31,0,22,13,41,8,4,17,29,21,0,8,9,59,0,68,13,32,21,5,14,19,17,58,17,54,65,57,43,31,0,22,13,41,8,4,17,29,21,0,8,9,59,0,68,13,32,21,5,14,19,17,58,17,54,65,57,43,31,0,22,13,41,8,4,17,29,21,0
40,5,0,4,4,5,65-74,2,Male,4,OTH,53,35,1032,0,1460,88,459,63,9,58,130,193,1694,113,476,1972,763,559,220,0,242,76,538,16,14,113,275,136,0,53,35,1032,0,1460,88,459,63,9,58,130,193,1694,113,476,1972,763,559,220,0,242,76,538,16,14,113,275,136,0,53,35,1032,0,1460,88,459,63,9,58,130,193,1694,113,476,1972,763,559,220,0,242,76,538,16,14,113,275,136,0,8,6,52,0,62,10,22,13,1,13,12,14,42,11,36,72,45,39,24,0,16,9,38,5,4,18,27,19,0,8,6,52,0,62,10,22,13,1,13,12,14,42,11,36,72,45,39,24,0,16,9,38,5,4,18,27,19,0,8,6,52,0,62,10,22,13,1,13,12,14,42,11,36,72,45,39,24,0,16,9,38,5,4,18,27,19,0
41,6,1,1,1,6,75+,1,Female,1,NHW,2333,12141,0,41091,18004,3851,11096,534,176,757,13938,8575,86650,16566,4173,29810,2131,3488,2580,3723,27260,14844,7651,2411,1380,475,1009,1715,6790,2333,12141,0,41091,18004,3851,11096,534,176,757,13938,8575,86650,16566,4173,29810,2131,3488,2580,3723,27260,14844,7651,2411,1380,475,1009,1715,6790,2333,12141,0,41091,18004,3851,11096,534,176,757,13938,8575,86650,16566,4173,29810,2131,3488,2580,3723,27260,14844,7651,2411,1380,475,1009,1715,6790,69,151,0,416,276,88,150,48,19,57,161,131,410,177,133,354,95,121,105,126,228,169,180,69,53,45,65,86,170,69,151,0,416,276,88,150,48,19,57,161,131,410,177,133,354,95,121,105,126,228,169,180,69,53,45,65,86,170,69,151,0,416,276,88,150,48,19,57,161,131,410,177,133,354,95,121,105,126,228,169,180,69,53,45,65,86,170
42,6,1,2,2,6,75+,1,Female,2,NHB,215,658,0,5114,2255,529,2722,25,21,116,1953,998,9842,2180,688,3230,308,279,846,433,3210,1083,1202,385,72,58,366,198,1092,215,658,0,5114,2255,529,2722,25,21,116,1953,998,9842,2180,688,3230,308,279,846,433,3210,1083,1202,385,72,58,366,198,1092,215,658,0,5114,2255,529,2722,25,21,116,1953,998,9842,2180,688,3230,308,279,846,433,3210,1083,1202,385,72,58,366,198,1092,21,37,0,157,105,33,74,11,5,24,63,45,141,66,58,125,39,37,64,46,80,47,76,28,13,17,42,31,73,21,37,0,157,105,33,74,11,5,24,63,45,141,66,58,125,39,37,64,46,80,47,76,28,13,17,42,31,73,21,37,0,157,105,33,74,11,5,24,63,45,141,66,58,125,39,37,64,46,80,47,76,28,13,17,42,31,73
43,6,1,3,3,6,75+,1,Female,3,HIS,92,526,0,2025,1092,296,1622,23,9,91,1100,708,6920,1777,375,1175,450,204,254,220,1756,663,615,173,76,37,190,176,389,92,526,0,2025,1092,296,1622,23,9,91,1100,708,6920,1777,375,1175,450,204,254,220,1756,663,615,173,76,37,190,176,389,92,526,0,2025,1092,296,1622,23,9,91,1100,708,6920,1777,375,1175,450,204,254,220,1756,663,615,173,76,37,190,176,389,14,33,0,64,47,25,57,7,2,14,46,38,117,59,28,49,31,21,23,22,59,37,36,19,13,9,20,19,29,14,33,0,64,47,25,57,7,2,14,46,38,117,59,28,49,31,21,23,22,59,37,36,19,13,9,20,19,29,14,33,0,64,47,25,57,7,2,14,46,38,117,59,28,49,31,21,23,22,59,37,36,19,13,9,20,19,29
44,6,1,4,4,6,75+,1,Female,4,OTH,92,302,0,2017,1030,137,855,14,9,73,566,579,3495,669,185,1427,321,171,156,185,1160,419,536,74,37,37,183,116,329,92,302,0,2017,1030,137,855,14,9,73,566,579,3495,669,185,1427,321,171,156,185,1160,419,536,74,37,37,183,116,329,92,302,0,2017,1030,137,855,14,9,73,566,579,3495,669,185,1427,321,171,156,185,1160,419,536,74,37,37,183,116,329,14,25,0,63,45,17,42,6,1,12,33,35,83,36,19,53,25,19,18,19,48,29,33,12,9,9,19,15,26,14,25,0,63,45,17,42,6,1,12,33,35,83,36,19,53,25,19,18,19,48,29,33,12,9,9,19,15,26,14,25,0,63,45,17,42,6,1,12,33,35,83,36,19,53,25,19,18,19,48,29,33,12,9,9,19,15,26
45,6,0,1,1,6,75+,2,Male,1,NHW,2128,7200,9197,0,15376,4298,11960,2293,223,380,8016,6117,92274,9058,7001,29420,3647,7084,3468,0,15356,9270,7271,1665,567,1450,1197,1088,0,2128,7200,9197,0,15376,4298,11960,2293,223,380,8016,6117,92274,9058,7001,29420,3647,7084,3468,0,15356,9270,7271,1665,567,1450,1197,1088,0,2128,7200,9197,0,15376,4298,11960,2293,223,380,8016,6117,92274,9058,7001,29420,3647,7084,3468,0,15356,9270,7271,1665,567,1450,1197,1088,0,66,119,201,0,259,93,155,100,21,41,127,111,430,135,175,359,127,176,123,0,175,136,179,58,34,80,73,70,0,66,119,201,0,259,93,155,100,21,41,127,111,430,135,175,359,127,176,123,0,175,136,179,58,34,80,73,70,0,66,119,201,0,259,93,155,100,21,41,127,111,430,135,175,359,127,176,123,0,175,136,179,58,34,80,73,70,0
46,6,0,2,2,6,75+,2,Male,2,NHB,112,330,1025,0,1687,482,1872,67,11,36,1217,556,7532,1127,632,3135,402,486,654,0,1864,551,751,279,25,102,314,45,0,112,330,1025,0,1687,482,1872,67,11,36,1217,556,7532,1127,632,3135,402,486,654,0,1864,551,751,279,25,102,314,45,0,112,330,1025,0,1687,482,1872,67,11,36,1217,556,7532,1127,632,3135,402,486,654,0,1864,551,751,279,25,102,314,45,0,15,26,68,0,87,31,61,18,4,13,49,33,122,48,53,118,43,47,54,0,61,34,58,24,8,22,38,14,0,15,26,68,0,87,31,61,18,4,13,49,33,122,48,53,118,43,47,54,0,61,34,58,24,8,22,38,14,0,15,26,68,0,87,31,61,18,4,13,49,33,122,48,53,118,43,47,54,0,61,34,58,24,8,22,38,14,0
47,6,0,3,3,6,75+,2,Male,3,HIS,115,271,694,0,1134,289,1428,67,9,63,767,463,6643,986,520,1464,518,375,262,0,1219,395,503,129,32,72,244,81,0,115,271,694,0,1134,289,1428,67,9,63,767,463,6643,986,520,1464,518,375,262,0,1219,395,503,129,32,72,244,81,0,115,271,694,0,1134,289,1428,67,9,63,767,463,6643,986,520,1464,518,375,262,0,1219,395,503,129,32,72,244,81,0,16,24,40,0,51,25,54,13,2,12,40,31,116,45,35,58,35,29,25,0,50,29,34,16,8,13,24,14,0,16,24,40,0,51,25,54,13,2,12,40,31,116,45,35,58,35,29,25,0,50,29,34,16,8,13,24,14,0,16,24,40,0,51,25,54,13,2,12,40,31,116,45,35,58,35,29,25,0,50,29,34,16,8,13,24,14,0
48,6,0,4,4,6,75+,2,Male,4,OTH,90,163,648,0,1166,144,695,52,9,34,338,399,3551,425,319,2046,564,411,182,0,817,250,498,40,15,85,340,95,0,90,163,648,0,1166,144,695,52,9,34,338,399,3551,425,319,2046,564,411,182,0,817,250,498,40,15,85,340,95,0,90,163,648,0,1166,144,695,52,9,34,338,399,3551,425,319,2046,564,411,182,0,817,250,498,40,15,85,340,95,0,14,19,41,0,55,17,38,12,1,10,26,29,85,30,29,73,38,33,22,0,41,23,36,9,4,15,30,16,0,14,19,41,0,55,17,38,12,1,10,26,29,85,30,29,73,38,33,22,0,41,23,36,9,4,15,30,16,0,14,19,41,0,55,17,38,12,1,10,26,29,85,30,29,73,38,33,22,0,41,23,36,9,4,15,30,16,0
