diet_pattern,food_cat,food_group,outcome,impact_median_day,LB_day,UB_day,impact_median_year,LB_year,UB_year
Med,Vegetables,veg_dg,BLUEWATER (L),3.42230480979577,3.16563150452434,3.69915313760513,1249.141255575456,1155.4554991513842,1350.1908952258725
US,Vegetables,veg_dg,BLUEWATER (L),3.42225207637534,3.14205528133957,3.68035361928879,1249.122007876999,1146.850177688943,1343.3290710404083
Veg,Vegetables,veg_dg,BLUEWATER (L),3.41465812256168,3.13269036845326,3.67625654953421,1246.3502147350132,1143.43198448544,1341.8336405799866
Vegan,Vegetables,veg_dg,BLUEWATER (L),3.41865957019634,3.13744859403073,3.73079419367744,1247.810743121664,1145.1687368212165,1361.7398806922656
DGAplus,Vegetables,veg_exc_sta,BLUEWATER (L),0,0,0,4719.474626002,4452.924034256087,4987.026250612702
Med,Vegetables,veg_exc_sta,BLUEWATER (L),0,0,0,4718.074929293128,4453.675887888316,5004.76148494515
US,Vegetables,veg_exc_sta,BLUEWATER (L),0,0,0,4722.16079978062,4448.3318880724255,4994.319474319829
Veg,Vegetables,veg_exc_sta,BLUEWATER (L),0,0,0,4719.953335818973,4446.783106924198,4997.542649316459
Vegan,Vegetables,veg_exc_sta,BLUEWATER (L),0,0,0,4724.255285415431,4444.899009551673,5000.576190784843
DGAplus,Vegetables,veg_oth,BLUEWATER (L),1.84388864063283,1.49576159740172,2.15293171741617,673.0193538309829,545.9529830516278,785.8200768569021
Med,Vegetables,veg_oth,BLUEWATER (L),1.82901870458058,1.49629704635589,2.1980471452604,667.5918271719116,546.1484219198999,802.287208020046
US,Vegetables,veg_oth,BLUEWATER (L),1.83634097429761,1.49187248498752,2.19664311052737,670.2644556186276,544.5334570204448,801.77473534249
Veg,Vegetables,veg_oth,BLUEWATER (L),1.83898576340606,1.50726832419661,2.20237120636566,671.2298036432119,550.1529383317627,803.8654903234659
Vegan,Vegetables,veg_oth,BLUEWATER (L),1.84384056910745,1.49306899789169,2.15795858441452,673.0018077242192,544.9701842304669,787.6548833112998
DGAplus,Vegetables,veg_ro,BLUEWATER (L),7.67159812410267,7.54670617715212,7.81183447909115,2800.1333152974744,2754.547754660524,2851.31958486827
Med,Vegetables,veg_ro,BLUEWATER (L),7.67490916861852,7.53992319675899,7.81447501835406,2801.34184654576,2752.0719668170314,2852.283381699232
US,Vegetables,veg_ro,BLUEWATER (L),7.67883379804108,7.55328288592613,7.80607032311488,2802.774336284994,2756.9482533630376,2849.215667936931
Veg,Vegetables,veg_ro,BLUEWATER (L),7.67773511627602,7.54300872358081,7.81326991346029,2802.3733174407475,2753.1981841069955,2851.8435184130058
Vegan,Vegetables,veg_ro,BLUEWATER (L),7.68066502621794,7.5472879136986,7.81145596378432,2803.442734569548,2754.7600884999893,2851.181426781277
DGAplus,Vegetables,veg_sta,BLUEWATER (L),7.69019590008114,7.43700645416274,7.93140497649874,2806.921503529616,2714.5073557694,2894.9628164220403
Med,Vegetables,veg_sta,BLUEWATER (L),7.69595553346294,7.4574484589058,7.93528333347725,2809.0237697139733,2721.968687500617,2896.3784167191966
US,Vegetables,veg_sta,BLUEWATER (L),7.69126245836101,7.4540292494645,7.92214623966701,2807.3107973017686,2720.7206760545423,2891.5833774784587
Veg,Vegetables,veg_sta,BLUEWATER (L),7.70088699103335,7.46359426921206,7.93350337322144,2810.8237517271727,2724.211908262402,2895.728731225826
Vegan,Vegetables,veg_sta,BLUEWATER (L),7.68767893907963,7.44168385339755,7.93479575767161,2806.002812764065,2716.214606490106,2896.2004515501376
DGAplus,Other,added_sugar,CED (MJ),-0.311252603988091,-0.32213030644895,-0.30073807586772,-113.60720045565321,-117.57756185386675,-109.7693976917178
Med,Other,added_sugar,CED (MJ),-0.322621108984128,-0.332324071113675,-0.312476946372571,-117.75670477920671,-121.29828595649138,-114.05408542598842
US,Other,added_sugar,CED (MJ),-0.322862128052703,-0.332343912571037,-0.312726750365781,-117.84467673923659,-121.30552808842852,-114.14526388351007
Veg,Other,added_sugar,CED (MJ),-0.310810932011061,-0.320478475706586,-0.301325180244032,-113.44599018403727,-116.97464363290389,-109.98369078907167
Vegan,Other,added_sugar,CED (MJ),-0.310850633031385,-0.321432060336418,-0.300725901780587,-113.46048105645552,-117.32270202279258,-109.76495414991426
DGAplus,Dairy,dairy_cow,CED (MJ),3.0014106316359,2.96121548439057,3.04044214608238,1095.5148805471035,1080.843651802558,1109.7613833200687
Med,Dairy,dairy_cow,CED (MJ),1.1595057144297,1.11451371066687,1.20057778143518,423.2195857668405,406.79750439340756,438.2108902238407
US,Dairy,dairy_cow,CED (MJ),3.00039973636563,2.95888860096519,3.03877694182335,1095.145903773455,1079.9943393522944,1109.1535837655226
