fcidcode,fcid_desc,waste_coef,ined_coef,retloss_coef,Foodgroup,Proxy,Notes
801378000,"Tomato, dried",0.083333336,0.10714285,0.15183601,veg_ro,,
1100266000,Pear,0.2857143,0.14285715,0.21328232,fruit_exc_juice,,
1304175000,Grape,0.52380955,0.063492067,0.082251102,fruit_exc_juice,,
1400391000,Walnut,0.21951219,0,0.063829802,pf_ns,,
301165000,"Garlic, bulb",0.97727269,0.29545456,0.080177069,veg_oth,,
600347000,"Soybean, seed",0.11111111,0,0.063829765,leg_tot,,
2302368000,Tamarind,0.11111112,0,0.063829802,fruit_exc_juice,,
8000161000,"Fish-shellfish, crustacean",0.66666669,0,0.10219059,pf_seafood,,
101190000,Horseradish,1.0930232,0.23255815,0.26616445,veg_oth,,
801375000,Tomato,0.083333328,0.10714285,0.15183604,veg_ro,,
2100228000,Mushroom,0.27631578,0.039473683,0.14546987,veg_oth,,
801377000,"Tomato, puree",0.38888887,0,0.063829757,veg_ro,,
2301236000,"Olive, oil",0.17647061,0,0.2658228,oil,,
2001337000,"Sesame, oil",0.33333331,0,0.052631591,oil,,
3400290000,"Pork, meat",0.40845066,0,0.045550477,pf_redm,,
3400291000,"Pork, skin",0.40845066,0,0.045550469,pf_redm,,
3100044000,"Beef, meat",0.25,0,0.045418892,pf_redm,,
401204000,"Lettuce, head",0.40000001,0.26666668,0.095290214,veg_oth,,
9500188000,Hop,1.1875,0.93750006,0.6941154,other,,
3500339000,"Sheep, meat",0.25,0,0.1402448,pf_redm,,
3500341000,"Sheep, fat",0.25,0,0.14024483,sat_fat,,
5000384001,"Turkey, meat byproducts-babyfood",0.53846151,0,0.035850897,babyfood,,
5000386001,"Turkey, skin-babyfood",0.53846151,0,0.035850894,babyfood,,
3400290001,"Pork, meat-babyfood",0.40845072,0,0.045550484,babyfood,,
3100047001,"Beef, fat-babyfood",0.53846157,0,1,babyfood,,
3400293001,"Pork, fat-babyfood",0.53846151,0,1,babyfood,,
4000093001,"Chicken, meat-babyfood",0.17647059,0,0.041355874,babyfood,,
4000096001,"Chicken, fat-babyfood",0.17647059,0,0.041355919,babyfood,,
5000385001,"Turkey, fat-babyfood",0.53846151,0,0.035850909,babyfood,,
5000382001,"Turkey, meat-babyfood",0.53846157,0,0.035850942,babyfood,,
4000097001,"Chicken, skin-babyfood",0.17647059,0,0.041355867,babyfood,,
4000095001,"Chicken, meat byproducts-babyfood",0.17647061,0,0.041355856,babyfood,,
3500341001,"Sheep, fat-babyfood",NA,NA,NA,babyfood,,
3100044001,"Beef, meat-babyfood",0.25,0,0.045418926,babyfood,,
1002200001,"Lemon, juice-babyfood",0.11111111,0,0.063829795,babyfood,,
3500339001,"Sheep, meat-babyfood",NA,NA,NA,babyfood,,
3500340000,"Sheep, meat byproducts",0.25000003,0,0.14024487,pf_redm,,
801376000,"Tomato, paste",0.3888889,0,0.063829817,veg_ro,,
1500233000,"Oat, groats/rolled oats",0.2121212,0.30303031,0.1363637,gr_whole,,
