Race_label,food,mean,se
NHW,pf_poultry_tot_1,1.6390985514734338,Inf
OTH,pf_poultry_tot_1,1.8714306035572952,Inf
HIS,pf_poultry_tot_2,NA,NA
NHB,pf_poultry_tot_2,NA,NA
NHW,pf_poultry_tot_2,NA,NA
OTH,pf_poultry_tot_2,NA,NA
HIS,pf_poultry_tot_grams,55.026856480532274,Inf
NHB,pf_poultry_tot_grams,71.35513576529301,Inf
NHW,pf_poultry_tot_grams,49.09823085364577,Inf
OTH,pf_poultry_tot_grams,54.82445990221679,Inf
HIS,pf_redm,1.6970751094667202,Inf
NHB,pf_redm,1.274386087960054,Inf
NHW,pf_redm,1.5010226884626516,Inf
OTH,pf_redm,1.5569594749843276,Inf
HIS,pf_redm_1,1.722728913064416,Inf
NHB,pf_redm_1,1.295955003845829,Inf
NHW,pf_redm_1,1.5048277570272903,Inf
OTH,pf_redm_1,1.6128321151181029,Inf
HIS,pf_redm_2,NA,NA
NHB,pf_redm_2,NA,NA
NHW,pf_redm_2,NA,NA
OTH,pf_redm_2,NA,NA
HIS,pf_redm_tot,2.275780722499127,Inf
NHB,pf_redm_tot,1.9436014272011082,Inf
NHW,pf_redm_tot,2.2732996437894553,Inf
OTH,pf_redm_tot,2.0079962884901734,Inf
HIS,pf_redm_tot_1,NA,NA
NHB,pf_redm_tot_1,1.9525640245287115,Inf
NHW,pf_redm_tot_1,2.2656983668494455,Inf
OTH,pf_redm_tot_1,2.026631033721401,Inf
HIS,pf_redm_tot_2,NA,NA
NHB,pf_redm_tot_2,NA,NA
NHW,pf_redm_tot_2,NA,NA
OTH,pf_redm_tot_2,NA,NA
HIS,pf_redm_tot_grams,70.54920239747294,Inf
NHB,pf_redm_tot_grams,60.25164424323435,Inf
NHW,pf_redm_tot_grams,70.47228895747311,Inf
OTH,pf_redm_tot_grams,62.24788494319538,Inf
HIS,pf_seafood,0.6701765402110073,Inf
NHB,pf_seafood,0.8352572171361775,Inf
NHW,pf_seafood,0.516488023940575,Inf
OTH,pf_seafood,0.8679211985555788,Inf
HIS,pf_seafood_1,0.6352075905234448,Inf
NHB,pf_seafood_1,0.793326269145215,Inf
NHW,pf_seafood_1,0.5178712117310583,Inf
OTH,pf_seafood_1,0.8632675961604658,Inf
HIS,pf_seafood_2,NA,NA
NHB,pf_seafood_2,NA,NA
NHW,pf_seafood_2,NA,NA
OTH,pf_seafood_2,NA,NA
HIS,pf_seafood_grams,19.43511966611921,Inf
NHB,pf_seafood_grams,24.222459296949147,Inf
NHW,pf_seafood_grams,14.978152694276677,Inf
OTH,pf_seafood_grams,25.169714758111787,Inf
HIS,pf_soy,0.08485054939813057,Inf
NHB,pf_soy,0.056419030236123206,Inf
NHW,pf_soy,0.10783623632783178,Inf
OTH,pf_soy,0.1306294905695189,Inf
HIS,pf_soy_1,0.0874485739772355,Inf
NHB,pf_soy_1,0.052187447892308794,Inf
NHW,pf_soy_1,0.111453153563346,Inf
OTH,pf_soy_1,0.12410503309029691,Inf
HIS,pf_soy_2,NA,NA
NHB,pf_soy_2,NA,NA
NHW,pf_soy_2,NA,NA
OTH,pf_soy_2,NA,NA
HIS,pf_tot,7.183323576949497,Inf
NHB,pf_tot,6.926550180689007,Inf
NHW,pf_tot,6.520637269111406,Inf
OTH,pf_tot,7.033804954052302,Inf
HIS,pf_tot_1,NA,NA
NHB,pf_tot_1,6.643682661359273,Inf
NHW,pf_tot_1,6.343540615367794,Inf
OTH,pf_tot_1,6.956075231437709,Inf
HIS,pf_tot_2,NA,NA
NHB,pf_tot_2,NA,NA
NHW,pf_tot_2,NA,NA
OTH,pf_tot_2,NA,NA
HIS,pf_tot_grams,225.49786486432288,Inf
NHB,pf_tot_grams,204.8329993846057,Inf
NHW,pf_tot_grams,193.77512704927707,Inf
OTH,pf_tot_grams,207.20745431418598,Inf
HIS,pufa_energy,7.852896029577744,Inf
NHB,pufa_energy,9.071927358085905,Inf
NHW,pufa_energy,8.552420228598534,Inf
OTH,pufa_energy,8.095247323212503,Inf
HIS,pufa_energy_1,NA,NA
NHB,pufa_energy_1,8.950893335340375,Inf
NHW,pufa_energy_1,8.553646074373631,Inf
OTH,pufa_energy_1,7.955586963978654,Inf
HIS,pufa_energy_2,NA,NA
NHB,pufa_energy_2,NA,NA
NHW,pufa_energy_2,NA,NA
OTH,pufa_energy_2,NA,NA
HIS,sat_fat,24.01320247281144,Inf
NHB,sat_fat,24.746201344260133,Inf
NHW,sat_fat,27.063249687581244,Inf
OTH,sat_fat,23.368021731879637,Inf
HIS,sat_fat_1,23.950262758589123,Inf
NHB,sat_fat_1,24.6428623464082,Inf
NHW,sat_fat_1,27.144884834817262,Inf
OTH,sat_fat_1,23.20286627677007,Inf
HIS,sat_fat_2,NA,NA
NHB,sat_fat_2,NA,NA
NHW,sat_fat_2,NA,NA
OTH,sat_fat_2,NA,NA
HIS,sea_omega3_fa,0.0918875210930367,Inf
NHB,sea_omega3_fa,0.10697663095931714,Inf
NHW,sea_omega3_fa,0.0819058828580715,Inf
OTH,sea_omega3_fa,0.14483645652016255,Inf
HIS,sea_omega3_fa_1,0.0869706427851209,Inf
NHB,sea_omega3_fa_1,0.10061110327425309,Inf
NHW,sea_omega3_fa_1,0.08090901331758965,Inf
OTH,sea_omega3_fa_1,0.1359972416295083,Inf
HIS,sea_omega3_fa_2,NA,NA
NHB,sea_omega3_fa_2,NA,NA
NHW,sea_omega3_fa_2,NA,NA
OTH,sea_omega3_fa_2,NA,NA
HIS,sfat_energy,10.809101207716639,Inf
NHB,sfat_energy,11.153902793765022,Inf
NHW,sfat_energy,12.178462359411562,Inf
OTH,sfat_energy,10.51560977934584,Inf
HIS,sfat_energy_1,NA,NA
NHB,sfat_energy_1,11.089288055883692,Inf
NHW,sfat_energy_1,12.215198175667766,Inf
OTH,sfat_energy_1,10.441289824546534,Inf
HIS,sfat_energy_2,NA,NA
NHB,sfat_energy_2,NA,NA
NHW,sfat_energy_2,NA,NA
OTH,sfat_energy_2,NA,NA
HIS,sodium,3865.390070551947,Inf
NHB,sodium,3408.3620073235206,Inf
NHW,sodium,3420.8698461357862,Inf
OTH,sodium,3753.0054592814495,Inf
HIS,sodium_1,3824.8980082699627,Inf
NHB,sodium_1,3381.482107792602,Inf
NHW,sodium_1,3380.2967765442268,Inf
OTH,sodium_1,3708.436004989898,Inf
HIS,sodium_2,NA,NA
NHB,sodium_2,NA,NA
NHW,sodium_2,NA,NA
OTH,sodium_2,NA,NA
HIS,ssb,313.6829781833018,Inf
NHB,ssb,358.2307164233192,Inf
NHW,ssb,265.5135381251758,Inf
OTH,ssb,224.23074522475784,Inf
HIS,ssb_1,NA,NA
NHB,ssb_1,387.38610258343175,Inf
NHW,ssb_1,277.38413120656526,Inf
OTH,ssb_1,233.71336832007518,Inf
HIS,ssb_2,NA,NA
NHB,ssb_2,NA,NA
NHW,ssb_2,NA,NA
OTH,ssb_2,NA,NA
HIS,veg_dg,0.11880964615770968,Inf
NHB,veg_dg,0.15838199095535166,Inf
NHW,veg_dg,0.16906591203322244,Inf
OTH,veg_dg,0.2535710608487605,Inf
HIS,veg_dg_1,0.12162635695553178,Inf
NHB,veg_dg_1,0.14831835264498905,Inf
NHW,veg_dg_1,0.1660971721711673,Inf
OTH,veg_dg_1,0.2731952908121755,Inf
HIS,veg_dg_2,NA,NA
NHB,veg_dg_2,NA,NA
NHW,veg_dg_2,NA,NA
OTH,veg_dg_2,NA,NA
HIS,veg_dg_grams,14.019538246609741,Inf
NHB,veg_dg_grams,18.689074932731497,Inf
NHW,veg_dg_grams,19.949777619920248,Inf
OTH,veg_dg_grams,29.921385180153738,Inf
HIS,veg_exc_sta,1.0828560549828614,Inf
NHB,veg_exc_sta,0.8822147471535646,Inf
NHW,veg_exc_sta,1.1370209253913275,Inf
OTH,veg_exc_sta,1.323595217508611,Inf
HIS,veg_exc_sta_1,1.0760243107853134,Inf
NHB,veg_exc_sta_1,0.8647285049849643,Inf
NHW,veg_exc_sta_1,1.1136065201263015,Inf
OTH,veg_exc_sta_1,1.351242905726241,Inf
HIS,veg_exc_sta_2,NA,NA
NHB,veg_exc_sta_2,NA,NA
NHW,veg_exc_sta_2,NA,NA
OTH,veg_exc_sta_2,NA,NA
HIS,veg_leg,0.2252104716833256,Inf
NHB,veg_leg,0.07678963169690602,Inf
NHW,veg_leg,0.09106369094667167,Inf
OTH,veg_leg,0.13384997985409863,Inf
HIS,veg_leg_1,0.23434333368226115,Inf
NHB,veg_leg_1,0.07562925185975299,Inf
NHW,veg_leg_1,0.08967571285071017,Inf
OTH,veg_leg_1,0.13320028146893717,Inf
HIS,veg_leg_2,NA,NA
NHB,veg_leg_2,NA,NA
NHW,veg_leg_2,NA,NA
OTH,veg_leg_2,NA,NA
HIS,veg_oth,0.5724773330685695,Inf
NHB,veg_oth,0.40670280887490684,Inf
NHW,veg_oth,0.5640684919936294,Inf
OTH,veg_oth,0.6682338507248331,Inf
HIS,veg_oth_1,0.5777563997088531,Inf
NHB,veg_oth_1,0.4042080432189884,Inf
NHW,veg_oth_1,0.5540631503344139,Inf
OTH,veg_oth_1,0.683776357645848,Inf
HIS,veg_oth_2,NA,NA
NHB,veg_oth_2,NA,NA
NHW,veg_oth_2,NA,NA
OTH,veg_oth_2,NA,NA
HIS,veg_oth_grams,80.14682662959973,Inf
NHB,veg_oth_grams,56.93839324248695,Inf
NHW,veg_oth_grams,78.96958887910812,Inf
OTH,veg_oth_grams,93.55273910147663,Inf
HIS,veg_ro,0.3837465097451823,Inf
NHB,veg_ro,0.2938047381567416,Inf
NHW,veg_ro,0.3888246469338059,Inf
OTH,veg_ro,0.375339031118839,Inf
HIS,veg_ro_1,0.3763848477616517,Inf
NHB,veg_ro_1,0.29274277676033816,Inf
NHW,veg_ro_1,0.3866464558142758,Inf
OTH,veg_ro_1,0.3718404624061245,Inf
HIS,veg_ro_2,NA,NA
NHB,veg_ro_2,NA,NA
NHW,veg_ro_2,NA,NA
OTH,veg_ro_2,NA,NA
HIS,veg_ro_grams,55.259497403306256,Inf
NHB,veg_ro_grams,42.30788229457079,Inf
NHW,veg_ro_grams,55.990749158468056,Inf
OTH,veg_ro_grams,54.04882048111282,Inf
HIS,veg_sta,0.36788129803755604,Inf
NHB,veg_sta,0.4700771175352205,Inf
NHW,veg_sta,0.44834816721624465,Inf
OTH,veg_sta,0.37059182599981555,Inf
HIS,veg_sta_1,0.3794900379362453,Inf
NHB,veg_sta_1,0.48517065107072754,Inf
NHW,veg_sta_1,0.4390372443207858,Inf
OTH,veg_sta_1,0.3929020293559695,Inf
HIS,veg_sta_2,NA,NA
NHB,veg_sta_2,NA,NA
NHW,veg_sta_2,NA,NA
OTH,veg_sta_2,NA,NA
HIS,veg_sta_grams,49.29609393703251,Inf
NHB,veg_sta_grams,62.99033374971955,Inf
NHW,veg_sta_grams,60.07865440697678,Inf
OTH,veg_sta_grams,49.659304683975286,Inf
HIS,veg_tot,1.4621557560937246,Inf
NHB,veg_tot,1.3724451254609153,Inf
NHW,veg_tot,1.5986540104654896,Inf
OTH,veg_tot,1.7142403058285707,Inf
HIS,veg_tot_1,1.4593004454721208,Inf
NHB,veg_tot_1,1.3660965061597616,Inf
NHW,veg_tot_1,1.5584456609401474,Inf
OTH,veg_tot_1,1.7617962509440055,Inf
HIS,veg_tot_2,NA,NA
NHB,veg_tot_2,NA,NA
NHW,veg_tot_2,NA,NA
OTH,veg_tot_2,NA,NA
HIS,veg_tot_grams,198.72195621654825,Inf
NHB,veg_tot_grams,180.92568421950878,Inf
NHW,veg_tot_grams,214.98877006447321,Inf
OTH,veg_tot_grams,227.18224944671846,Inf
