subgroup,food,mean,SE,pro_gro,gro_mean_intake,gro_se_intake,oth_mean_intake,oth_se_intake,food_label,food_desc
3,pf_seafood,0.5088310447560356,0.09330722059574433,0.5158839625188794,0.2624977756213649,0.048135698692555774,0.24633326913467068,0.04517152190318855,Seafood,"Seafood (finfish, shellfish, and other seafood) high in n-3 fatty acids (oz. eq.); Seafood (finfish, shellfish, and other seafood) low in n-3 fatty acids (oz. eq.)"
3,leg_tot,0.8222298355371027,0.0738759518179623,0.7409832667125907,0.6092585495248386,0.054740844109575665,0.21297128601226412,0.01913510770838664,"Beans, peas, lentils (total)","Beans and Peas (legumes) computed as protein foods (oz. eq.); Soy products, excluding calcium fortified soy milk (soymilk) and raw soybeans products (oz. eq.)"
3,added_sugar,16.3272484565351,0.7436655942482875,0.5691788554526777,9.293124589182145,0.4232787317737757,7.034123867352953,0.3203868624745118,Added sugars,Foods defined as added sugars (tsp. eq.)
3,ssb,329.63168777852536,24.54375954389123,0.4954689252121128,163.3222580594807,12.160670161876324,166.3094297190447,12.383089382014909,Sugar sweetened beverages,Sugar sweetened beverages (gm)
3,oil,27.441648266390136,0.8142666594266897,0.5143160286770971,14.113679556723522,0.41879039456050143,13.327968709666614,0.3954762648661883,Oils,"Fats naturally present in nuts, seeds, and seafood; all unhydrogenated vegetable oils, except palm oil, palm kernel oil, and coconut oils; the fat present in avocado and olives above the allowable amount; 50% of the fat present in stick and tub margarines and margarine spreads (grams)"
3,kcal,NA,NA,0.5789980670503405,NA,NA,NA,NA,NA,NA
3,sat_fat,24.739461112693757,0.4749018074003636,0.5714522971530108,14.137421883176428,0.2713837287610545,10.60203922951733,0.2035180786393091,Saturated fats,Total saturated fatty acids (gm)
3,sodium,3314.9280423327723,70.68982688358376,0.5474236577700993,1814.6700341784806,38.69728359974652,1500.2580081542917,31.992543283837243,Sodium,Sodium (mg)
3,fiber,17.172361494878903,0.4884264827050037,0.6656315983240013,11.43046642883378,0.3251121003467018,5.741895066045122,0.1633143823583019,Fiber,Dietary fiber (gm)
3,sea_omega3_fa,0.07047305809572606,0.00808907010813468,0.5521486624766458,0.0389116047681941,0.004466369240886381,0.031561453327531956,0.0036227008672482996,Seafood omega-3 fats,PFA 20:5 (Eicosapentaenoic) (gm); PFA 22:6 (Docosahexaenoic) (gm)
