subgroup,food,ghg_impact_mean,ghg_impact_se,ced_impact_mean,ced_impact_se,fcid_purchased_mean,fcid_purchased_se,GHGper100gram,CEDper100gram,GHGperDGA,CEDperDGA
30,gr_refined,0.04912087178706812,0.004180502457209657,0.28144848656246085,0.016987527047952523,92.59611213374082,3.8111524325504256,0.05304852510019059,0.30395281192362794,0.019097469036068612,0.10942301229250606
31,gr_refined,0.06662413545307684,0.004126092575442975,0.4040253219263024,0.01915740879191354,112.34541303359207,4.648463866615568,0.05930294228670979,0.3596277863213659,0.021349059223215526,0.12946600307569173
32,gr_refined,0.07753378609575776,0.007701131962523792,0.38333006476914055,0.031066582660809836,105.01800030173251,6.916784970936111,0.073829044423805,0.36501367733890916,0.026578455992569798,0.1314049238420073
33,gr_refined,0.05514645947411067,0.0028976770483882894,0.3575221587219973,0.024216861112586554,120.81291964082416,5.739535476732075,0.04564616072358871,0.2959304019676934,0.016432617860491935,0.10653494470836962
34,gr_refined,0.058730482494814426,0.004951793899385614,0.34024624467173,0.022031485753836014,109.29720215652851,6.100001006805811,0.053734662311578994,0.3113037094805509,0.019344478432168438,0.11206933541299832
35,gr_refined,0.07652061764076219,0.005579159657561568,0.4517373703729898,0.027816520450164278,131.95740063926442,8.248036806736422,0.057988879191360185,0.34233576001388255,0.020875996508889667,0.12324087360499772
36,gr_refined,0.1031131773535273,0.012472075303745079,0.49241104838619404,0.05388541209617981,136.5352165601693,14.884938522145918,0.07552130501663407,0.3606476488570954,0.027187669805988263,0.12983315358855432
37,gr_refined,0.0449060863607311,0.0026512120231263056,0.2961105721388473,0.022727856395751797,94.2710228770865,4.262117618773438,0.047635089755291044,0.3141056107187099,0.017148632311904773,0.11307801985873556
38,gr_refined,0.04094663996964526,0.004268728348133072,0.23217177677793194,0.017783242175493423,75.43996660067755,3.973646661118036,0.05427711836934655,0.3077569983651699,0.019539762612964758,0.11079251941146116
39,gr_refined,0.06344038550491517,0.005576502557412593,0.36232314103610447,0.025961395047866404,98.3488714286269,5.984913518802404,0.06450545347737388,0.3684059977231638,0.023221963251854598,0.13262615918033896
40,gr_refined,0.08120643216709313,0.010275898566874494,0.38838021531626415,0.039867550145706906,103.7869879153766,8.063969164279518,0.07824336537573026,0.3742089669592613,0.02816761153526289,0.13471522810533407
41,gr_refined,0.04965582156671319,0.0030768064826205564,0.315345623370745,0.01756497698889035,109.21280637713988,5.161944747649944,0.045467031947919075,0.2887441810457425,0.016368131501250865,0.1039479051764673
42,gr_refined,0.0498723185620393,0.005324578821677945,0.2879802312905044,0.02420131269641039,90.84564203385865,6.719833095996464,0.05489786570439078,0.31699950029872936,0.01976323165358068,0.11411982010754257
43,gr_refined,0.08183014138637973,0.010647150412409183,0.45786013031072675,0.04029942851424006,121.28708807355301,7.530131369550171,0.06746813917797655,0.3775011318872321,0.024288530104071556,0.13590040747940355
44,gr_refined,0.0848170849129389,0.011055051235490384,0.41357537816586804,0.04063741641616898,115.88296476135973,8.066178953641453,0.07319202187103561,0.3568905740524957,0.02634912787357282,0.12848060665889843
45,gr_refined,0.040873316310621736,0.002126766202463521,0.26176551014871735,0.01615548832759511,89.06792277056503,3.5407312284349124,0.04589005226484238,0.29389425733326413,0.016520418815343257,0.10580193263997509
46,gr_refined,0.039680367509147635,0.004002967350561394,0.23892537312352724,0.0202383889048104,75.75192666560507,5.397333217496322,0.05238199113312373,0.31540501164838436,0.01885751680792454,0.11354580419341836
47,gr_refined,0.05624055877150075,0.005110320277513538,0.33112339370699473,0.026502356174240516,96.67840396028853,5.493940647783859,0.05817282502367543,0.3424998553379165,0.020942217008523153,0.12329994792164993
48,gr_refined,0.09336050860892221,0.015381836020709954,0.41634163346606695,0.05886896752233885,99.86703901957777,12.356832448812854,0.09348480692475519,0.41689594239842037,0.033654530492911866,0.15008253926343132
1,gr_whole,0.01780401031143939,0.0020193941884712376,0.11144761424305484,0.01059863765515957,28.72702340220633,2.4564011907675463,0.06197652315788479,0.387953922975867,0.031608026810521245,0.19785650071769217
2,gr_whole,0.014566137088818841,0.0015316854928254145,0.09794965335415731,0.006443506093886339,23.07789389637393,1.8933939484893285,0.06311727211427867,0.42443064256200375,0.03218980877828213,0.21645962770662192
3,gr_whole,0.01488031910582365,0.0026138661104841026,0.09392444620331386,0.011470212949684162,21.42465095499345,1.9110320043978102,0.0694541961830911,0.43839428889936183,0.03542164005337646,0.22358108733867454
4,gr_whole,0.020190376102503686,0.003338329255983286,0.11527217118158437,0.018633716616648487,28.784594852543655,3.8971980217315325,0.07014299213149942,0.40046480338561347,0.035772925987064705,0.20423704972666287
5,gr_whole,0.016363114179671144,0.0019317613021604494,0.09620477769872385,0.008967318473492825,25.45367270482566,2.100101117253683,0.06428586699226681,0.377960299931431,0.03278579216605607,0.1927597529650298
6,gr_whole,0.012819472329295369,0.0017137038293041122,0.08318024416500713,0.0084168346483145,19.783012876814134,1.7085768658907403,0.0648004043121253,0.4204629733749763,0.0330482061991839,0.21443611642123792
7,gr_whole,0.012225496271742442,0.001810338521742064,0.07949684961254264,0.00988188809065835,18.79713117545079,2.2883515565762482,0.06503916027201556,0.4229201194082541,0.03316997173872794,0.21568926089820958
8,gr_whole,0.018164101556353437,0.0038639734214104523,0.09163560506359328,0.01491489515933475,23.511136557388156,3.524065777580982,0.07725743718095814,0.38975404204692793,0.03940129296228865,0.19877456144393324
9,gr_whole,0.012188906211865224,0.0012935984794077038,0.0785868025871287,0.007429910259468149,24.010132156339093,2.575833934542635,0.05076567730864047,0.32730683061392657,0.02589049542740664,0.16692648361310256
10,gr_whole,0.015418216370232475,0.0026434017323448103,0.09408243313583264,0.011999850386165722,21.965347561352537,2.607075392280475,0.0701933640119605,0.42832207809617484,0.03579861564609985,0.21844425982904916
11,gr_whole,0.011238274336919889,0.002206747520403455,0.07031460564176961,0.013724886989523328,18.270891677701435,3.438396028866314,0.06150917281522473,0.3848449593053223,0.03136967813576461,0.19627092924571438
12,gr_whole,0.02088181030986909,0.004357126059846037,0.10810530849528263,0.015577345031805337,28.903239315714707,5.106181085622185,0.07224730100932195,0.3740248880564253,0.03684612351475419,0.19075269290877692
13,gr_whole,0.019095673639012357,0.0043083228793363414,0.10623408664668699,0.015297366210450117,26.201940000418006,2.6419322407474137,0.07287885415624842,0.4054435917531,0.037168215619686695,0.206776231794081
14,gr_whole,0.01507949107560694,0.002384062087161669,0.09244894050543523,0.01033795166686829,22.987535918378654,2.2588036782421845,0.06559855362118568,0.40216985775983854,0.033455262346804696,0.20510662745751765
15,gr_whole,0.01129714855813251,0.0015928576619817555,0.07512886874480057,0.009118529863078232,20.247260981496236,2.0657667268546387,0.05579593490920504,0.3710569484606341,0.028455926803694572,0.1892390437149234
16,gr_whole,0.017374870167860507,0.0026276710781935925,0.09559287771887111,0.013300593467722074,23.28267391607553,3.1951415304190767,0.07462575059243527,0.41057516874326433,0.03805913280214199,0.20939333605906482
17,gr_whole,0.018189116215634727,0.0016962743386404998,0.11193383015858839,0.01268442899899399,29.81428633428392,3.4021173767730493,0.06100805503675187,0.375436892580836,0.031114108068743453,0.19147281521622636
18,gr_whole,0.01804768109092008,0.0019889974725207965,0.11421638933844835,0.00972497031187849,27.093364556167607,2.0303505548588814,0.06661291938660921,0.42156591183669667,0.033972588887170696,0.2149986150367153
19,gr_whole,0.011154363081087611,0.0017716517339002845,0.0669402239837893,0.009454686449932121,17.62858630144885,2.3788707666820517,0.06327429148513662,0.3797254234634098,0.03226988865741968,0.193659965966339
20,gr_whole,0.023694140171632853,0.005539013163731451,0.1438015876986839,0.055290435273560555,31.803598388319003,9.093743481430351,0.07450144440364762,0.4521550861725764,0.037995736645860284,0.23059909394801395
21,gr_whole,0.011892039524013678,0.0015177213404464105,0.07695838643350765,0.008184125725893993,20.688193557665585,2.0480140787314247,0.05748225184990754,0.3719918136834731,0.029315948443452845,0.18971582497857128
22,gr_whole,0.01427567469667077,0.0019807148916863113,0.09527598630260982,0.010050199588290391,22.803764705210614,2.246962551084327,0.06260227151619753,0.41780814498949576,0.03192715847326074,0.21308215394464283
23,gr_whole,0.011795996186596042,0.0014226298365085533,0.07163972853966763,0.006402889933827683,19.50617433687313,1.714423916767693,0.060473140365087906,0.36726693457386367,0.030841301586194834,0.18730613663267048
24,gr_whole,0.01581378636417614,0.0035588411093462327,0.07964275414136558,0.012064223217504855,21.034146346648598,2.140494230537905,0.0751814982341595,0.37863554255461945,0.03834256409942134,0.19310412670285593
25,gr_whole,0.014571344242770299,0.0014638876841051262,0.09464456003047442,0.006656788223690074,27.56130924044,1.6421520179550964,0.05286883912390541,0.34339645916241485,0.026963107953191758,0.17513219417283157
26,gr_whole,0.013772868266378057,0.0014798413706411052,0.09947698237491794,0.010833085771233323,25.2624678757272,2.4714725018581074,0.054519092648154806,0.3937738104775499,0.02780473725055895,0.20082464334355044
27,gr_whole,0.018638238077913264,0.006700358148843412,0.10299402537345742,0.022170109401566652,26.885599822009997,4.074612827273561,0.06932424123435402,0.38308249046071485,0.035355363029520546,0.19537207013496458
