subgroup,food,food_type,mixed_dish,costperDGA,costper100g
0,ssb,Grocery,Non-Mixed,0.2650773868467428,0.11044891118614283
0,ssb,Non-Grocery,Non-Mixed,0.10679578172122473,0.04449824238384364
0,ssb,Total,Non-Mixed,0.19154361370269332,0.07980983904278889
0,veg_dg,Grocery,Non-Mixed,0.8501247498151688,0.720444703233194
0,veg_dg,Non-Grocery,Non-Mixed,0.9314447584806691,0.7893599648141264
0,veg_dg,Total,Non-Mixed,0.8722722464282187,0.7392137681595073
0,veg_oth,Grocery,Mixed,0.43677072848178466,0.31197909177270333
0,veg_oth,Grocery,Non-Mixed,0.7041664330631761,0.5029760236165544
0,veg_oth,Non-Grocery,Mixed,1.1613941662632963,0.8295672616166402
0,veg_oth,Non-Grocery,Non-Mixed,1.5639751570815754,1.1171251122011254
0,veg_oth,Total,Mixed,0.7257790615545161,0.518413615396083
0,veg_oth,Total,Non-Mixed,0.9869542186998799,0.7049672990713428
0,veg_ro,Grocery,Non-Mixed,0.6014240233090788,0.41765557174241585
0,veg_ro,Non-Grocery,Non-Mixed,0.7555534118131083,0.5246898693146586
0,veg_ro,Total,Non-Mixed,0.6562908366934448,0.4557575254815589
0,veg_sta,Grocery,Non-Mixed,0.6141945393390377,0.4583541338351027
0,veg_sta,Non-Grocery,Non-Mixed,0.4579948090364146,0.34178717092269745
0,veg_sta,Total,Non-Mixed,0.5444289153199415,0.40629023531338915
1,added_sugar,Grocery,Non-Mixed,0.03378615390769017,0.804432235897385
1,added_sugar,Non-Grocery,Non-Mixed,0.07757009010154772,1.8469069071797077
1,added_sugar,Total,Non-Mixed,0.05130286248895732,1.221496725927555
1,dairy_tot,Grocery,Non-Mixed,0.43175167354155863,0.28976622385339507
1,dairy_tot,Non-Grocery,Non-Mixed,0,0
1,dairy_tot,Total,Non-Mixed,0.33953105293988184,0.22787318989253813
1,fruit_exc_juice,Grocery,Mixed,0.7002172918695494,0.4606692709668088
1,fruit_exc_juice,Grocery,Non-Mixed,0.7098676856922849,0.46701821427124
1,fruit_exc_juice,Non-Grocery,Mixed,0.6747435123311099,0.4439102054809933
1,fruit_exc_juice,Non-Grocery,Non-Mixed,0.9302873182485004,0.612031130426645
1,fruit_exc_juice,Total,Mixed,0.691596992914465,0.45499802165425324
1,fruit_exc_juice,Total,Non-Mixed,0.7406711445625774,0.4872836477385378
1,fruit_juice,Grocery,Mixed,0.5728207442284464,0.22821543594758825
1,fruit_juice,Grocery,Non-Mixed,0.5475326549313214,0.21814049997263804
1,fruit_juice,Non-Grocery,Mixed,0,0
1,fruit_juice,Non-Grocery,Non-Mixed,0.4256722711049451,0.16959054625695025
1,fruit_juice,Total,Mixed,0.5728207442284464,0.22821543594758825
1,fruit_juice,Total,Non-Mixed,0.525211380718527,0.2092475620392538
1,gr_refined,Grocery,Mixed,0.21701078950857697,0.602807748634936
1,gr_refined,Grocery,Non-Mixed,0.23489347211273023,0.6524818669798063
1,gr_refined,Non-Grocery,Mixed,0.5830875496322128,1.6196876378672578
1,gr_refined,Non-Grocery,Non-Mixed,0.5555171322556371,1.5431031451545478
1,gr_refined,Total,Mixed,0.37235976453542374,1.034332679265066
1,gr_refined,Total,Non-Mixed,0.34432831535295405,0.9564675426470945
1,gr_whole,Grocery,Mixed,0.22301873402166653,0.43729163533660104
1,gr_whole,Grocery,Non-Mixed,0.27689492525580073,0.5429312259917661
1,gr_whole,Non-Grocery,Mixed,0.6507760137578046,1.276031399525107
1,gr_whole,Non-Grocery,Non-Mixed,0.6053603606248841,1.1869810992644785
1,gr_whole,Total,Mixed,0.23403610139823952,0.4588943164671363
1,gr_whole,Total,Non-Mixed,0.3132572677547942,0.6142299367741062
1,leg_tot,Grocery,Mixed,0.2117065409855206,0.572179840501407
1,leg_tot,Grocery,Non-Mixed,0.22804073570577538,0.6163263127183118
1,leg_tot,Non-Grocery,Mixed,0.2723761503966233,0.7361517578287116
1,leg_tot,Non-Grocery,Non-Mixed,0.32752470795844785,0.8852019134012105
1,leg_tot,Total,Mixed,0.2406513553013394,0.6504090683819984
1,leg_tot,Total,Non-Mixed,0.267787793358841,0.7237507928617325
1,oil,Grocery,Non-Mixed,0.010400815429131518,1.0400815429131518
1,oil,Non-Grocery,Non-Mixed,0.00125685647027752,0.125685647027752
1,oil,Total,Non-Mixed,0.010216480182489064,1.0216480182489063
1,pf_egg,Grocery,Mixed,0.2313224466620784,0.4626448933241568
1,pf_egg,Grocery,Non-Mixed,0.21830407996520607,0.43660815993041213
1,pf_egg,Non-Grocery,Mixed,4.7154615577929775,9.430923115585955
1,pf_egg,Non-Grocery,Non-Mixed,4.467109495874338,8.934218991748676
1,pf_egg,Total,Mixed,1.0785904398696742,2.1571808797393484
1,pf_egg,Total,Non-Mixed,1.4005853370568782,2.8011706741137563
1,pf_ns,Grocery,Mixed,0.06274391855037878,0.41829279033585853
1,pf_ns,Grocery,Non-Mixed,0.20403209273619344,1.360213951574623
1,pf_ns,Non-Grocery,Mixed,0.10715007843643157,0.7143338562428772
1,pf_ns,Non-Grocery,Non-Mixed,0.3021012131863364,2.0140080879089095
1,pf_ns,Total,Mixed,0.06895570067048959,0.45970467113659724
1,pf_ns,Total,Non-Mixed,0.23061612925812197,1.5374408617208133
1,pf_pm,Grocery,Non-Mixed,0.40276874969160875,1.2992540312632541
1,pf_pm,Non-Grocery,Non-Mixed,1.2272342090626183,3.958820029234252
1,pf_pm,Total,Non-Mixed,0.5636328322315756,1.8181704265534697
1,pf_poultry,Grocery,Mixed,0.16735200674112324,0.5770758853142182
1,pf_poultry,Grocery,Non-Mixed,0.30449156512984243,1.049970914240836
1,pf_poultry,Non-Grocery,Mixed,1.7561026324621134,6.0555263188348745
