subgroup,food,cost_mean,cost_se,ghg_impact_mean,ghg_impact_se,ced_impact_mean,ced_impact_se,intake_mean,intake_se,ghg_impact_per_fpe,ced_impact_per_fpe,cost_impact_per_fpe,race,Race_label,age,Age_label,sex,Sex_label
40,pf_egg,0.4822480818792218,0.17022656236499,0.1734002715793738,0.022481874831841855,1.0624521049416422,0.13775016048455926,0.6215211347992262,0.0874220322837393,0.27899336300991334,1.7094384172226944,0.7759158214869158,4,OTH,5,65-74,2,Male
40,pf_pm,0.14918901667000592,0.04292400276643493,NA,NA,NA,NA,0.33588495363075616,0.07512185614592477,NA,NA,0.44416701331019387,4,OTH,5,65-74,2,Male
40,gr_whole,0.30711716116065285,0.05662164111088373,0.02832315335744249,0.006372952554903287,0.12853619196115734,0.022495283157436013,1.17119138536574,0.13662070499601528,0.02418319816158631,0.10974823890206298,0.26222628086078875,4,OTH,5,65-74,2,Male
40,fruit_juice,0.08997379456475679,0.02408152844516131,0.07219220481504009,0.01720505306055046,0.5010657457378705,0.11417527599189109,0.18100768414760915,0.04181165706630559,0.3988350282199533,2.7682015164022467,0.4970716850417492,4,OTH,5,65-74,2,Male
40,pf_ns,0.31802937097105266,0.055415111254959154,0.04882320968650869,0.009670902324675747,0.3100009625580599,0.06628089761366804,1.2020222354192387,0.1845283445065658,0.04061755951584393,0.25789952417139644,0.2645786089473886,4,OTH,5,65-74,2,Male
40,oil,0.02970392192719719,0.023404352011269742,0.028253096540969264,0.004099194867467871,0.2190824616512012,0.024923057203151258,29.554937336864143,1.7246816542432737,9.559518336629637e-4,0.007412719545100766,0.001005040937445914,4,OTH,5,65-74,2,Male
41,dairy,0.9886437853687937,0.05624875993034921,0.6330517220543938,0.03475922359210579,3.4112458616837205,0.18734044975400704,1.488534146305206,0.08733723082736124,0.4252853208814426,2.291681296093214,0.6641727284676506,1,NHW,6,75+,1,Female
41,fruit_exc_juice,0.6210827883958396,0.05722873971767679,0.14673383535492987,0.019903798744805183,1.2344931988596848,0.1529935120159136,0.8693972552278331,0.07420931323054736,0.16877651093627735,1.419941449592195,0.7143831944041271,1,NHW,6,75+,1,Female
41,gr_refined,1.9538615154927974,0.13463010848579995,0.05244918000548938,0.002940916885383746,0.3339920285527136,0.016381519723375412,4.556784318733673,0.17853896397628144,0.011510130025215889,0.07329555344096904,0.42878077583355406,1,NHW,6,75+,1,Female
41,pf_poultry,1.6596156357293839,0.19814242806387108,0.22408480181413443,0.024249569167244075,1.5966051189201094,0.17924643505085636,0.9655884168629733,0.09835875319160138,0.2320707227849175,1.653504838124714,1.7187609200213718,1,NHW,6,75+,1,Female
41,pf_redm,3.950087383618453,0.3959740282674131,2.1098149515314017,0.16390096129266749,5.052328640105326,0.32261923156077693,1.325331763875987,0.10173135534938224,1.5919145749296475,3.8121237095605287,2.9804517565218998,1,NHW,6,75+,1,Female
41,sat_fat,0.05412918238565088,0.005474022994951932,0.7459071371885675,0.03802317246660066,2.681990286677802,0.10881864147305823,28.956329216343637,0.5345516432374612,0.025759727057100865,0.09262190199039536,0.0018693385470662175,1,NHW,6,75+,1,Female
41,ssb,0.2629181746803326,0.021144722024937914,NA,NA,NA,NA,148.33065429824228,18.3557780225363,NA,NA,0.0017725140897153593,1,NHW,6,75+,1,Female
41,veg_dg,0.10824984070963851,0.027466127522596195,0.011953090853071363,0.0035007783496469316,0.10049381956015632,0.02989718991466293,0.10421955396564037,0.02361133315841022,0.1146914412722599,0.9642511000698356,1.0386711187166169,1,NHW,6,75+,1,Female
41,veg_oth,0.6862669479188702,0.06351365191388036,0.04274043067628042,0.004829195962955903,0.2917605362327645,0.03344334824848336,0.49791724741313687,0.0523889983832838,0.08583842174243345,0.5859618997907137,1.3782751079306437,1,NHW,6,75+,1,Female
41,veg_ro,0.22101682629151242,0.020982052427156964,0.05494934789653293,0.005191548057198303,0.4764857705334313,0.045621840382423735,0.3694891902197178,0.02765032155204269,0.14871706493999767,1.2895797310067112,0.5981685855547875,1,NHW,6,75+,1,Female
41,veg_sta,0.3418178528843779,0.04858302567946847,0.09212630349368456,0.0143453806569554,0.8257511039055324,0.12641189306953382,0.5486836603379471,0.0525476773119497,0.16790422269353128,1.504967549784393,0.6229780064415337,1,NHW,6,75+,1,Female
41,added_sugar,0.21245047724184463,0.03949021515549905,0.07940016857072309,0.004668867256482608,0.7700191723135864,0.04837689986042317,14.471941171393844,0.655027046839467,0.005486490556475623,0.053207732341785295,0.014680164514611745,1,NHW,6,75+,1,Female
41,pf_seafood,1.9141003702758588,0.5523387784539945,0.30302104325428036,0.06193706346379108,5.9438967650315995,1.0200539669890016,0.4872161133984283,0.07817818831585968,0.621943804650977,12.199713025851608,3.9286475090584174,1,NHW,6,75+,1,Female
