"","X","riskfactor","outcome","midage","logRR.perchange","se.perchange","logRR.perchange.exp","se.perchange.exp","event.age","origlogRR"
"51",3,"pufa_c","IHD",50,-0.126514501799724,0.0318165562352212,0.881607300192064,0.028083209661724,56.8,-0.105360516
"52",4,"pufa_c","IHD",60,-0.104833037697471,0.026363983509896,0.900787691965176,0.0237707186518728,56.8,-0.105360516
"53",5,"pufa_c","IHD",70,-0.0869535378734612,0.0218675494765174,0.916938765920455,0.0200662124420615,56.8,-0.105360516
"54",6,"pufa_c","IHD",87.5,-0.0496709105080534,0.0109145607673822,0.951542515623421,0.0103856686095196,56.8,-0.105360516
"55",1,"pufa_s","IHD",30,-0.14005031150868,0.0365219335228366,0.869893724501481,0.0317670604760509,56.9,-0.094310679
"56",2,"pufa_s","IHD",40,-0.134322951918778,0.0350283685035912,0.87484353242309,0.0306411001935552,56.9,-0.094310679
"57",3,"pufa_s","IHD",50,-0.113950308294317,0.0297156467529446,0.892695863287863,0.0265237776354683,56.9,-0.094310679
"58",4,"pufa_s","IHD",60,-0.094422036961162,0.0246231180769109,0.910174222409694,0.0224084601215722,56.9,-0.094310679
"59",5,"pufa_s","IHD",70,-0.07831815568185,0.0204235923835587,0.924862840531496,0.0188866796629052,56.9,-0.094310679
"60",6,"pufa_s","IHD",87.5,-0.0445986879306897,0.0100829470281222,0.956381212153444,0.00964314110083446,56.9,-0.094310679
"61",1,"rmeat","DIAB",30,0.258398710626736,0.10765461439515,1.30235228715577,0.140023457473828,59.6,0.173953307
"62",2,"rmeat","DIAB",40,0.247831491479675,0.103252077324641,1.28806734226796,0.132817358492625,59.6,0.173953307
"63",3,"rmeat","DIAB",50,0.210243107791629,0.0875919258406853,1.23870573937133,0.108343208225429,59.6,0.173953307
"64",4,"rmeat","DIAB",60,0.174212626467469,0.0725808309168131,1.19343921171016,0.0864950353290087,59.6,0.173953307
"65",5,"rmeat","DIAB",70,0.14450028870946,0.0602020142564721,1.15755256017005,0.0695911264830885,59.6,0.173953307
"66",6,"rmeat","DIAB",87.5,0.0835584898250997,0.0303041799903173,1.08714880057652,0.0329451529289283,59.6,0.173953307
"67",1,"sfat","IHD",30,0.13935245821804,0.0377703768768954,1.15034657462751,0.04330532057283,56.9,0.094310679
"68",2,"sfat","IHD",40,0.133653637348927,0.0362257567479591,1.14374453885838,0.0413007642426313,56.9,0.094310679
"69",3,"sfat","IHD",50,0.113382508074839,0.0307314281785659,1.12058770513063,0.0343419617294191,56.9,0.094310679
"70",4,"sfat","IHD",60,0.0939515436899054,0.0254648196286676,1.0988617807679,0.0279168216390821,56.9,0.094310679
"71",5,"sfat","IHD",70,0.0779279060489101,0.0211217399271798,1.08128530761231,0.0227935426395659,56.9,0.094310679
"72",6,"sfat","IHD",87.5,0.0447204562814928,0.010482698117051,1.04573549025805,0.0109621294546614,56.9,0.094310679
"73",1,"ssb","DIAB",30,0.294610699354797,0.0848467418507574,1.34743722734426,0.114412925672731,53.8,0.2390169
"74",2,"ssb","DIAB",40,0.282562590385522,0.0813769330700695,1.33091742313948,0.108378752098281,53.8,0.2390169
"75",3,"ssb","DIAB",50,0.239706571564483,0.069034565418035,1.27390366802327,0.0879774726310465,53.8,0.2390169
"76",4,"ssb","DIAB",60,0.198626779504938,0.0572037442028101,1.22172114820221,0.0698992712482422,53.8,0.2390169
"77",5,"ssb","DIAB",70,0.164750555490037,0.0474475227208154,1.18042519110572,0.0560107658034291,53.8,0.2390169
"78",6,"ssb","DIAB",87.5,0.0949328019639553,0.0230344384072901,1.09958496269346,0.0253283220967448,53.8,0.2390169
"85",1,"ssb","IHD",30,0.280127496300634,0.0536681412568028,1.32520277434005,0.0711240708252981,67,0.157003749
"86",2,"ssb","IHD",40,0.268671678137507,0.0514733818150837,1.30995722438456,0.067428408058608,67,0.157003749
"87",3,"ssb","IHD",50,0.227922481723249,0.0436664594024599,1.25718428208862,0.0548918061106423,67,0.157003749
"88",4,"ssb","IHD",60,0.188862191912347,0.0361831056482344,1.20866437197588,0.0437265729710486,67,0.157003749
"89",5,"ssb","IHD",70,0.156651339291596,0.030011999236755,1.17011393231305,0.0351111684736043,67,0.157003749
"90",6,"ssb","IHD",87.5,0.0898362159718634,0.0149612950862157,1.09399509010847,0.0163675833659839,67,0.157003749
"91",1,"veg","HSTK",30,-0.274254469369838,0.111300351211622,0.764853078035434,0.0853011806745928,64.2,-0.186329578
"92",2,"veg","HSTK",40,-0.263038828731142,0.106748721679317,0.773096750151678,0.0826774229284092,64.2,-0.186329578
"93",3,"veg","HSTK",50,-0.223143961617326,0.0905582372306545,0.803281347098244,0.0728285818602976,64.2,-0.186329578
"94",4,"veg","HSTK",60,-0.184902592251627,0.0750387897226688,0.833525077669839,0.062588143573273,64.2,-0.186329578
"95",5,"veg","HSTK",70,-0.153367057860625,0.0622407629068084,0.859475551931241,0.0535125826946352,64.2,-0.186329578
