disease,subgroup,Sex,Age_label,Race_label,count,se,X1,X2,X3
CC_total,5,2,20-34,NHW,827,60,821.8567538796465,776.2203229536552,795.3060870202381
CC_total,6,2,20-34,NHB,111,20,112.6050048807966,93.62610593236994,85.30091799979175
CC_total,7,2,20-34,HIS,253,26,244.5623298368199,279.87445188258215,252.85548005588979
CC_total,8,2,20-34,OTH,101,18,96.05629058440141,95.64155928459104,94.71077519394639
CC_total,9,1,35-44,NHW,1742,85,1817.1150926837463,1687.84804135263,1868.3520033339903
CC_total,10,1,35-44,NHB,587,51,569.9988148615498,585.937212641725,604.950536285984
CC_total,11,1,35-44,HIS,587,43,573.1253055277963,547.5489176162561,570.7997550806101
CC_total,12,1,35-44,OTH,324,33,297.58993357517693,296.50292799224945,363.6193124894538
CC_total,13,2,35-44,NHW,2069,90,2148.802127291623,2063.0889261012835,1909.9439259948408
CC_total,14,2,35-44,NHB,444,42,423.48774116347676,452.2263347738116,420.93081383363256
CC_total,15,2,35-44,HIS,585,41,639.1937545580824,558.8304049123777,613.291197265841
CC_total,16,2,35-44,OTH,367,34,395.53865103679794,346.19438894900475,367.52595856451666
CC_total,17,1,45-54,NHW,5415,156,5137.253297881681,5628.437469783876,5109.070881485381
CC_total,18,1,45-54,NHB,1164,64,1134.3872464886144,995.3134153435605,1174.0318141119874
CC_total,19,1,45-54,HIS,1116,52,1103.1469434277515,1163.2342691667238,1152.235260166704
CC_total,20,1,45-54,OTH,796,45,902.9402121083099,787.9807608760085,786.0415521817168
CC_total,21,2,45-54,NHW,6081,149,5800.8070770537,6040.486847771388,6133.860428873793
CC_total,22,2,45-54,NHB,1476,77,1481.628221539152,1413.1321785077564,1465.6268884270062
CC_total,23,2,45-54,HIS,1382,59,1390.82107673312,1365.602760804282,1380.9374818519746
CC_total,24,2,45-54,OTH,1756,86,1704.2211786120795,1781.1382967468935,1807.09513522296
CC_total,25,1,55-64,NHW,9947,222,10189.052484128897,10068.881084815763,9814.69033038788
CC_total,26,1,55-64,NHB,2489,110,2477.1543119457992,2553.8138670258422,2558.366901827292
CC_total,27,1,55-64,HIS,1766,75,1787.5245893605934,1764.0601937379035,1827.6625290137856
CC_total,28,1,55-64,OTH,1770,84,1834.256775644221,1655.5359392726646,1649.824872415791
CC_total,29,2,55-64,NHW,13970,259,14467.230386194657,14056.98344767867,14122.875835722167
CC_total,30,2,55-64,NHB,2309,94,2250.273581107173,2398.229112993182,2280.2375215352918
CC_total,31,2,55-64,HIS,2384,88,2343.777011252107,2466.49154752839,2271.511373279027
CC_total,32,2,55-64,OTH,2184,93,2197.60317516482,2202.0898633234824,2188.9360238126737
CC_total,33,1,65-74,NHW,11891,227,11829.47003245195,11560.615152911127,11834.905391596223
CC_total,34,1,65-74,NHB,1864,82,1849.2581376642281,1799.7130600934174,1887.7593116202456
CC_total,35,1,65-74,HIS,1490,69,1488.5951173904336,1484.7929089914426,1498.428006002294
CC_total,36,1,65-74,OTH,916,46,892.8958260710502,922.0628852216349,918.8568401165436
CC_total,37,2,65-74,NHW,14501,251,14665.031031130782,14828.472190267154,14470.609819818616
CC_total,38,2,65-74,NHB,2124,90,2298.3538983963645,2229.6100991413605,2130.3011143992007
CC_total,39,2,65-74,HIS,1715,68,1664.7274194527201,1652.3922048568438,1695.3188472436002
CC_total,40,2,65-74,OTH,1460,62,1465.8052551873934,1508.0623735713943,1626.4040651998641
CC_total,41,1,75+,NHW,18004,276,17842.361689062018,17557.770814183285,18713.414990799953
CC_total,42,1,75+,NHB,2255,105,2274.77717832786,2342.852864346816,2384.551025003313
CC_total,43,1,75+,HIS,1092,47,1126.5879404967095,1161.8349241409471,1032.1703402521784
CC_total,44,1,75+,OTH,1030,45,1007.2598454650904,1060.5120148976728,1027.1519934616838
CC_total,45,2,75+,NHW,15376,259,15034.928897472184,14904.720428287223,15553.341034209738
CC_total,46,2,75+,NHB,1687,87,1586.5823805971686,1690.3934105351066,1833.7019846432095
CC_total,47,2,75+,HIS,1134,51,1052.7830785377666,1061.7411638830588,1097.334408012889
CC_total,48,2,75+,OTH,1166,55,1131.3221631707531,1200.1017690478454,1151.9137084405356
CM_total,1,1,20-34,NHW,98,10,89.18845719055001,93.71522639899923,91.17911274625827
CM_total,2,1,20-34,NHB,59,8,73.58513264972143,56.868129321482314,38.03153992498938
CM_total,3,1,20-34,HIS,28,6,24.028720410669926,24.975535176803554,25.30097757906785
CM_total,4,1,20-34,OTH,9,2,7.191693775094415,8.12673662864833,9.680127836356947
CM_total,5,2,20-34,NHW,215,16,200.36573256842541,198.233504434748,214.53563714957363
CM_total,6,2,20-34,NHB,143,12,144.82057737366733,151.29524008218726,164.2933979104536
CM_total,7,2,20-34,HIS,65,9,57.481000853396424,65.21328367424839,62.149482692061504
CM_total,8,2,20-34,OTH,25,5,34.96219664682046,24.30705696009255,30.946558377852057
CM_total,9,1,35-44,NHW,144,12,150.25316026656452,145.18890503533336,144.6247443117413
CM_total,10,1,35-44,NHB,109,11,105.9164197444996,91.03192742338075,144.1268977637116
CM_total,11,1,35-44,HIS,32,6,34.741153949318175,31.558112066510123,27.25098498711629
CM_total,12,1,35-44,OTH,20,5,22.508457975808106,19.85140758025043,22.00033371449346
CM_total,13,2,35-44,NHW,324,18,314.9644201778619,332.69086780392917,274.6876813969675
CM_total,14,2,35-44,NHB,237,16,222.306269056231,241.39181175005726,240.21590725826013
CM_total,15,2,35-44,HIS,88,10,71.45948272526509,106.5024406987368,75.39242128290591
CM_total,16,2,35-44,OTH,47,7,45.301606138246704,39.19586071356276,48.145313627392476
CM_total,17,1,45-54,NHW,310,18,288.32118640201304,353.4171062057069,320.13496869352707
CM_total,18,1,45-54,NHB,164,13,172.12419196911085,166.52325835242038,154.5083656028264
CM_total,19,1,45-54,HIS,45,7,39.08914091876916,45.90595399101685,44.739678988365455
CM_total,20,1,45-54,OTH,16,4,11.199099909233077,14.107959991299783,12.456498546812197
CM_total,21,2,45-54,NHW,749,28,767.3907636710607,756.8739369628211,787.6277490910345
CM_total,22,2,45-54,NHB,394,20,389.12079367163744,392.2094486819243,396.56675679592564
CM_total,23,2,45-54,HIS,116,11,117.17644980188082,111.82148828162097,111.92591028292551
CM_total,24,2,45-54,OTH,63,8,63.382703458605,58.04293257127261,69.28595198057725
CM_total,25,1,55-64,NHW,640,26,643.8206287572311,699.111262191806,643.9398957055392
CM_total,26,1,55-64,NHB,288,18,268.8026673624698,321.7250663158118,301.3476421004079
CM_total,27,1,55-64,HIS,71,9,66.16787759030716,72.17031958882815,67.46900751424296
