,FNDDS_food_code,FNDDS_food_code_descr,food_item_cluster,rep_food,food_grp,dga_subgrp,commodity,prop_dga_subgrp,gwp_100g,od_100g,htnc_100g,htc_100g,pm_100g,irh_100g,ire_100g,pof_100g,acid_100g,teu_100g,feu_100g,meu_100g,feco_100g,lu_100g,wd_100g,md_100g,FPED,FPED_CF
238,43101150,"Pumpkin and/or squash seeds, hulled, roasted, without salt",Pumpkin/squash seed kernels,"Pumpkin and squash seed kernels,roasted, without salt",protein,nuts,nut_o,0.010648596,0.10015726,7.14E-09,6.10E-07,2.12E-08,0.000183318,0.006187009,1.88E-08,0.000642417,0.006940494,0.030971115,0.000204558,0.003553937,1.1594012,31.472434,0.000179141,1.43E-06,7.05,0.141843972
255,43103000,Sesame seeds,Sesame seeds,"Sesame seed kernels, toasted, without salt (decorticated)",protein,nuts,nut_o,0.005808325,0.10015726,7.14E-09,6.10E-07,2.12E-08,0.000183318,0.006187009,1.88E-08,0.000642417,0.006940494,0.030971115,0.000204558,0.003553937,1.1594012,31.472434,0.000179141,1.43E-06,7.05,0.141843972
275,43102200,"Sunflower seeds, hulled dry roasted",Sunflower seeds,"Sunflower seed kernels, dry roasted, without salt",protein,nuts,sunflower,0.046466602,0.10015726,7.14E-09,6.10E-07,2.12E-08,0.000183318,0.006187009,1.88E-08,0.000642417,0.006940494,0.030971115,0.000204558,0.003553937,1.1594012,31.472434,0.000179141,1.43E-06,7.05,0.141843972
297,42116000,Walnuts,Walnuts,"Walnuts, English",protein,nuts,walnut,0.053242982,0.265139,1.40E-08,8.29E-06,2.10E-08,0.00016212,0.0424725,6.93E-08,0.00113954,0.00349124,0.0123772,8.26E-05,0.00129522,11.6323,-2.15809,0.0918423,-1.44E-07,7.05,0.141843972
45,82105750,NA,Canola oil,"Oil, canola",oils,oils,canola,0.22,0.372832,4.81E-09,-2.77E-07,2.55E-09,3.22E-05,0.00627765,1.28E-08,0.000563924,0.000838688,0.00321772,8.59E-05,0.00164575,0.048474,6.63022,0.000645088,1.09E-06,100,0.01
88,82102000,NA,Corn oil,"Oil, corn, industrial and retail, all purpose salad or cooking",oils,oils,corn,0.1,0.372832,4.81E-09,-2.77E-07,2.55E-09,3.22E-05,0.00627765,1.28E-08,0.000563924,0.000838688,0.00321772,8.59E-05,0.00164575,0.048474,6.63022,0.000645088,1.09E-06,100,0.01
92,82103000,NA,Cottonseed oil,"Oil, cottonseed, salad or cooking",oils,oils,oils_o,0.04,0.372832,4.81E-09,-2.77E-07,2.55E-09,3.22E-05,0.00627765,1.28E-08,0.000563924,0.000838688,0.00321772,8.59E-05,0.00164575,0.048474,6.63022,0.000645088,1.09E-06,100,0.01
188,82104000,NA,Olive oil,"Oil, olive, salad or cooking",oils,oils,oils_o,0.04,0.372832,4.81E-09,-2.77E-07,2.55E-09,3.22E-05,0.00627765,1.28E-08,0.000563924,0.000838688,0.00321772,8.59E-05,0.00164575,0.048474,6.63022,0.000645088,1.09E-06,100,0.01
205,82105000,NA,Peanut oil,"Oil, peanut, salad or cooking",oils,oils,oils_o,0.01,0.372832,4.81E-09,-2.77E-07,2.55E-09,3.22E-05,0.00627765,1.28E-08,0.000563924,0.000838688,0.00321772,8.59E-05,0.00164575,0.048474,6.63022,0.000645088,1.09E-06,100,0.01
263,82108000,NA,Unhydrogenated soy oil,"Oil, soybean, salad or cooking",oils,oils,soy,0.53,0.372832,4.81E-09,-2.77E-07,2.55E-09,3.22E-05,0.00627765,1.28E-08,0.000563924,0.000838688,0.00321772,8.59E-05,0.00164575,0.048474,6.63022,0.000645088,1.09E-06,100,0.01
274,82108500,NA,Sunflower oil,"Oil, sunflower, linoleic (approx. 65%)",oils,oils,oils_o,0.03,0.372832,4.81E-09,-2.77E-07,2.55E-09,3.22E-05,0.00627765,1.28E-08,0.000563924,0.000838688,0.00321772,8.59E-05,0.00164575,0.048474,6.63022,0.000645088,1.09E-06,100,0.01
